"Label (Grouping)","Utah!!Total!!Estimate","Utah!!Total!!Margin of Error","Utah!!Male!!Estimate","Utah!!Male!!Margin of Error","Utah!!Female!!Estimate","Utah!!Female!!Margin of Error","Utah!!Median earnings (dollars)!!Estimate","Utah!!Median earnings (dollars)!!Margin of Error","Utah!!Median earnings (dollars) for male!!Estimate","Utah!!Median earnings (dollars) for male!!Margin of Error","Utah!!Median earnings (dollars) for female!!Estimate","Utah!!Median earnings (dollars) for female!!Margin of Error"
"Civilian employed population 16 years and over","1,275,709","±4,319","55.7%","±0.2","44.3%","±0.2","30,808","±170","40,206","±284","22,176","±177"
"Management, business, science, and arts occupations:","463,266","±4,143","54.7%","±0.4","45.3%","±0.4","48,237","±458","60,963","±524","35,929","±445"
"    Management, business, and financial occupations:","183,548","±2,851","63.1%","±0.8","36.9%","±0.8","54,333","±617","64,817","±1,081","41,757","±696"
"        Management occupations","122,557","±2,193","68.3%","±0.8","31.7%","±0.8","60,018","±1,291","67,888","±2,137","44,781","±1,223"
"        Business and financial operations occupations","60,991","±1,670","52.7%","±1.6","47.3%","±1.6","47,904","±1,292","58,026","±2,144","39,303","±1,342"
"    Computer, engineering, and science occupations:","78,984","±1,841","80.6%","±0.9","19.4%","±0.9","60,463","±889","63,892","±1,095","44,382","±2,317"
"        Computer and mathematical occupations","41,045","±1,412","81.7%","±1.3","18.3%","±1.3","62,190","±1,745","64,867","±1,614","50,087","±2,309"
"        Architecture and engineering occupations","26,284","±939","88.0%","±1.2","12.0%","±1.2","64,374","±1,274","66,690","±1,551","44,750","±6,325"
"        Life, physical, and social science occupations","11,655","±790","59.9%","±3.1","40.1%","±3.1","42,655","±2,340","48,471","±2,605","35,513","±1,988"
"    Education, legal, community service, arts, and media occupations:","141,912","±2,569","37.9%","±0.9","62.1%","±0.9","32,840","±787","44,909","±1,328","25,664","±787"
"        Community and social services occupations","17,384","±951","43.7%","±2.6","56.3%","±2.6","36,513","±1,428","42,289","±2,867","32,361","±2,275"
"        Legal occupations","11,890","±798","57.8%","±3.1","42.2%","±3.1","68,397","±5,126","101,291","±5,847","46,560","±4,227"
"        Education, training, and library occupations","86,708","±1,760","28.9%","±1.1","71.1%","±1.1","30,091","±1,491","43,220","±1,791","23,001","±1,505"
"        Arts, design, entertainment, sports, and media occupations","25,930","±1,132","54.9%","±1.7","45.1%","±1.7","27,056","±2,402","37,429","±3,862","18,010","±2,497"
"    Healthcare practitioner and technical occupations:","58,822","±1,639","33.7%","±1.5","66.3%","±1.5","49,469","±870","70,358","±3,056","42,335","±1,136"
"        Health diagnosing and treating practitioners and other technical occupations","40,819","±1,304","37.0%","±1.7","63.0%","±1.7","57,399","±1,529","87,956","±7,061","50,171","±1,148"
"        Health technologists and technicians","18,003","±892","26.2%","±2.3","73.8%","±2.3","31,175","±885","40,061","±2,604","28,923","±1,790"
"Service occupations:","200,229","±3,113","43.4%","±0.7","56.6%","±0.7","14,008","±316","17,104","±465","12,065","±280"
"    Healthcare support occupations","27,686","±1,221","16.5%","±1.6","83.5%","±1.6","17,363","±718","18,479","±1,739","17,159","±700"
"    Protective service occupations:","22,791","±1,058","76.1%","±1.9","23.9%","±1.9","38,796","±1,327","42,371","±1,093","26,612","±2,644"
"        Fire fighting and prevention, and other protective service workers including supervisors","13,293","±716","72.9%","±2.4","27.1%","±2.4","27,169","±1,941","32,241","±2,024","15,490","±6,506"
"        Law enforcement workers including supervisors","9,498","±687","80.6%","±3.0","19.4%","±3.0","47,827","±1,863","50,101","±1,663","39,751","±2,645"
"    Food preparation and serving related occupations","65,307","±2,120","41.9%","±1.3","58.1%","±1.3","11,163","±346","12,251","±587","10,469","±396"
"    Building and grounds cleaning and maintenance occupations","47,091","±1,734","63.2%","±1.8","36.8%","±1.8","14,109","±637","16,201","±705","10,961","±793"
"    Personal care and service occupations","37,354","±1,415","21.0%","±1.3","79.0%","±1.3","11,057","±409","12,936","±1,838","10,697","±438"
"Sales and office occupations:","339,710","±3,424","40.4%","±0.5","59.6%","±0.5","24,862","±327","32,071","±398","21,358","±278"
"    Sales and related occupations","145,744","±2,984","54.7%","±0.8","45.3%","±0.8","25,482","±601","39,629","±938","15,325","±542"
"    Office and administrative support occupations","193,966","±2,426","29.6%","±0.6","70.4%","±0.6","24,519","±334","26,433","±562","23,753","±350"
"Natural resources, construction, and maintenance occupations:","118,446","±2,404","96.8%","±0.4","3.2%","±0.4","37,776","±811","38,224","±828","21,074","±1,895"
"    Farming, fishing, and forestry occupations","5,376","±491","85.5%","±2.6","14.5%","±2.6","18,634","±2,895","20,194","±2,215","11,698","±2,909"
"    Construction and extraction occupations","69,741","±2,005","97.9%","±0.4","2.1%","±0.4","35,926","±1,102","36,228","±1,129","15,977","±2,621"
"    Installation, maintenance, and repair occupations","43,329","±1,558","96.5%","±0.7","3.5%","±0.7","42,152","±845","42,490","±929","28,796","±9,062"
"Production, transportation, and material moving occupations:","154,058","±2,809","76.7%","±0.7","23.3%","±0.7","29,694","±703","33,010","±558","20,947","±569"
"    Production occupations","80,881","±1,976","70.6%","±1.0","29.4%","±1.0","30,358","±485","34,495","±655","22,133","±729"
"    Transportation occupations","42,143","±1,458","86.7%","±1.1","13.3%","±1.1","36,385","±1,096","39,085","±1,181","23,721","±3,211"
"    Material moving occupations","31,034","±1,199","79.2%","±1.6","20.8%","±1.6","20,620","±746","22,799","±956","13,363","±2,270"
"PERCENT IMPUTED","","","","","","","","","","","",""
"    Occupation","5.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
