"Label (Grouping)","California!!Median earnings (dollars)!!Estimate","California!!Median earnings (dollars)!!Margin of Error","California!!Median earnings (dollars) for male!!Estimate","California!!Median earnings (dollars) for male!!Margin of Error","California!!Median earnings (dollars) for female!!Estimate","California!!Median earnings (dollars) for female!!Margin of Error","California!!Women's earnings as a percentage of men's earning!!Estimate","California!!Women's earnings as a percentage of men's earning!!Margin of Error"
"Civilian employed population 16 years and over with earnings","34,818","±144","39,988","±119","30,246","±63","75.6%","±0.2"
"Management, business, science, and arts occupations:","62,541","±217","75,126","±250","52,976","±257","70.5%","±0.4"
"    Management, business, and financial occupations:","67,480","±370","78,765","±575","58,543","±497","74.3%","±0.8"
"        Management occupations","73,456","±451","82,313","±423","61,887","±341","75.2%","±0.6"
"        Business and financial operations occupations","60,366","±208","68,835","±1,156","54,165","±469","78.7%","±1.6"
"    Computer, engineering, and science occupations:","82,288","±268","87,429","±525","70,024","±704","80.1%","±1.0"
"        Computer and mathematical occupations","86,213","±464","91,094","±516","75,221","±919","82.6%","±1.2"
"        Architecture and engineering occupations","86,007","±596","89,473","±1,059","72,327","±1,332","80.8%","±1.8"
"        Life, physical, and social science occupations","62,275","±803","67,103","±1,618","58,049","±1,739","86.5%","±3.0"
"    Education, legal, community service, arts, and media occupations:","45,041","±292","52,363","±275","40,118","±286","76.6%","±0.7"
"        Community and social services occupations","42,405","±386","44,101","±1,132","41,943","±403","95.1%","±2.7"
"        Legal occupations","90,460","±1,712","118,260","±3,897","70,130","±1,587","59.3%","±2.4"
"        Education, training, and library occupations","40,030","±401","50,773","±417","35,038","±471","69.0%","±1.1"
"        Arts, design, entertainment, sports, and media occupations","41,914","±345","48,549","±1,461","35,205","±894","72.5%","±2.9"
"    Healthcare practitioner and technical occupations:","67,327","±624","81,037","±749","62,726","±706","77.4%","±1.1"
"        Health diagnosing and treating practitioners and other technical occupations","82,126","±368","102,648","±1,016","76,862","±514","74.9%","±0.9"
"        Health technologists and technicians","40,872","±290","44,610","±1,209","39,460","±698","88.5%","±3.1"
"Service occupations:","18,708","±92","22,081","±92","15,949","±81","72.2%","±0.5"
"    Healthcare support occupations","24,740","±253","25,676","±508","24,530","±280","95.5%","±2.3"
"    Protective service occupations:","51,429","±826","55,298","±1,425","40,512","±1,179","73.3%","±2.6"
"        Fire fighting and prevention, and other protective service workers including supervisors","27,694","±677","28,973","±830","23,413","±1,068","80.8%","±4.2"
"        Law enforcement workers including supervisors","81,819","±473","84,726","±810","68,032","±2,113","80.3%","±2.5"
"    Food preparation and serving related occupations","15,724","±116","17,476","±183","13,714","±160","78.5%","±1.2"
"    Building and grounds cleaning and maintenance occupations","19,061","±177","22,227","±162","14,817","±215","66.7%","±1.0"
"    Personal care and service occupations","15,070","±164","18,371","±439","14,183","±171","77.2%","±1.8"
"Sales and office occupations:","30,125","±89","33,618","±366","27,177","±124","80.8%","±1.0"
"    Sales and related occupations","26,947","±168","37,529","±450","19,753","±248","52.6%","±1.0"
"    Office and administrative support occupations","31,110","±85","30,689","±194","31,279","±92","101.9%","±0.7"
"Natural resources, construction, and maintenance occupations:","30,259","±123","31,177","±125","15,130","±306","48.5%","±1.0"
"    Farming, fishing, and forestry occupations","16,730","±173","18,902","±264","12,049","±191","63.7%","±1.3"
"    Construction and extraction occupations","31,645","±175","31,692","±181","28,835","±2,872","91.0%","±9.2"
"    Installation, maintenance, and repair occupations","39,652","±590","39,614","±581","40,342","±2,031","101.8%","±5.0"
"Production, transportation, and material moving occupations:","26,832","±97","30,151","±123","20,491","±150","68.0%","±0.6"
"    Production occupations","27,501","±283","31,807","±184","20,945","±185","65.9%","±0.7"
"    Transportation occupations","33,111","±413","34,579","±443","26,611","±532","77.0%","±1.8"
"    Material moving occupations","20,357","±159","21,635","±203","16,583","±272","76.6%","±1.5"
