"Label (Grouping)","Colorado!!Median earnings (dollars)!!Estimate","Colorado!!Median earnings (dollars)!!Margin of Error","Colorado!!Median earnings (dollars) for male!!Estimate","Colorado!!Median earnings (dollars) for male!!Margin of Error","Colorado!!Median earnings (dollars) for female!!Estimate","Colorado!!Median earnings (dollars) for female!!Margin of Error","Colorado!!Women's earnings as a percentage of men's earning!!Estimate","Colorado!!Women's earnings as a percentage of men's earning!!Margin of Error"
"Civilian employed population 16 years and over with earnings","41,296","±163","48,122","±313","34,716","±329","72.1%","±0.8"
"    Management, business, science, and arts occupations:","61,229","±282","75,482","±530","51,446","±250","68.2%","±0.6"
"        Management, business, and financial occupations:","68,936","±548","79,263","±1,082","59,213","±581","74.7%","±1.4"
"            Management occupations","71,679","±693","81,053","±901","60,456","±921","74.6%","±1.5"
"            Business and financial operations occupations","64,226","±635","74,614","±1,497","57,984","±864","77.7%","±2.0"
"        Computer, engineering, and science occupations:","80,977","±552","86,150","±604","65,596","±1,569","76.1%","±1.9"
"            Computer and mathematical occupations","85,295","±828","89,203","±1,666","73,356","±2,362","82.2%","±2.8"
"            Architecture and engineering occupations","83,566","±1,482","86,643","±1,041","71,073","±1,379","82.0%","±2.0"
"            Life, physical, and social science occupations","58,787","±1,547","64,553","±2,287","52,772","±2,158","81.7%","±4.7"
"        Education, legal, community service, arts, and media occupations:","41,871","±368","49,319","±871","38,509","±530","78.1%","±1.8"
"            Community and social service occupations","42,526","±778","44,116","±1,355","41,761","±974","94.7%","±3.7"
"            Legal occupations","79,812","±3,226","116,896","±10,599","65,205","±2,465","55.8%","±5.4"
"            Educational instruction, and library occupations","38,933","±591","46,281","±985","35,578","±728","76.9%","±2.2"
"            Arts, design, entertainment, sports, and media occupations","37,206","±1,240","43,010","±1,714","31,364","±901","72.9%","±3.6"
"        Healthcare practitioners and technical occupations:","59,340","±731","80,693","±2,457","55,130","±938","68.3%","±2.4"
"            Health diagnosing and treating practitioners and other technical occupations","67,706","±1,078","104,706","±3,934","63,163","±520","60.3%","±2.3"
"            Health technologists and technicians","39,392","±1,028","46,479","±2,766","38,000","±1,049","81.8%","±5.2"
"    Service occupations:","21,763","±182","25,877","±284","19,293","±349","74.6%","±1.4"
"        Healthcare support occupations","24,893","±541","25,937","±1,092","24,572","±646","94.7%","±4.9"
"        Protective service occupations:","47,971","±1,479","52,154","±1,200","38,428","±1,918","73.7%","±3.9"
"            Firefighting and prevention, and other protective service workers including supervisors","34,287","±2,483","38,982","±2,163","21,355","±2,284","54.8%","±6.2"
"            Law enforcement workers including supervisors","62,816","±1,544","65,198","±1,887","54,821","±3,419","84.1%","±5.5"
"        Food preparation and serving related occupations","16,791","±285","20,018","±571","14,714","±383","73.5%","±3.0"
"        Building and grounds cleaning and maintenance occupations","22,145","±400","26,372","±548","17,484","±716","66.3%","±2.9"
"        Personal care and service occupations","20,190","±492","21,806","±1,001","19,628","±861","90.0%","±5.4"
"    Sales and office occupations:","34,376","±429","41,871","±493","31,006","±252","74.1%","±1.1"
"        Sales and related occupations","35,786","±548","45,954","±1,033","26,053","±527","56.7%","±1.9"
"        Office and administrative support occupations","33,542","±494","37,430","±852","32,410","±306","86.6%","±2.0"
"    Natural resources, construction, and maintenance occupations:","40,986","±447","41,515","±446","26,426","±1,309","63.7%","±3.2"
"        Farming, fishing, and forestry occupations","25,399","±938","26,839","±938","16,783","±5,145","62.5%","±19.1"
"        Construction and extraction occupations","40,226","±595","40,589","±598","26,388","±2,508","65.0%","±6.3"
"        Installation, maintenance, and repair occupations","46,672","±848","47,006","±863","37,840","±3,359","80.5%","±7.3"
"    Production, transportation, and material moving occupations:","32,251","±280","36,076","±577","24,732","±621","68.6%","±1.9"
"        Production occupations","35,796","±620","40,209","±772","26,230","±543","65.2%","±1.7"
"        Transportation occupations","39,422","±1,022","41,166","±763","29,087","±2,700","70.7%","±6.6"
"        Material moving occupations","24,104","±544","25,708","±553","20,422","±844","79.4%","±3.6"
