"Label (Grouping)","Colorado!!Total!!Estimate","Colorado!!Total!!Margin of Error","Colorado!!Male!!Estimate","Colorado!!Male!!Margin of Error","Colorado!!Female!!Estimate","Colorado!!Female!!Margin of Error","Colorado!!Median earnings (dollars)!!Estimate","Colorado!!Median earnings (dollars)!!Margin of Error","Colorado!!Median earnings (dollars) for male!!Estimate","Colorado!!Median earnings (dollars) for male!!Margin of Error","Colorado!!Median earnings (dollars) for female!!Estimate","Colorado!!Median earnings (dollars) for female!!Margin of Error"
"Civilian employed population 16 years and over","2,476,167","±6,831","53.6%","±0.1","46.4%","±0.1","35,343","±170","41,643","±200","29,415","±257"
"Management, business, science, and arts occupations:","973,584","±7,137","50.8%","±0.3","49.2%","±0.3","53,166","±317","66,623","±598","44,038","±421"
"    Management, business, and financial occupations:","417,398","±4,363","56.6%","±0.4","43.4%","±0.4","59,250","±690","69,291","±965","50,294","±398"
"        Management occupations","283,889","±3,773","62.4%","±0.6","37.6%","±0.6","63,070","±613","72,019","±1,041","51,067","±573"
"        Business and financial operations occupations","133,509","±2,626","44.3%","±0.9","55.7%","±0.9","53,414","±676","62,952","±1,188","48,969","±949"
"    Computer, engineering, and science occupations:","181,335","±3,082","74.9%","±0.7","25.1%","±0.7","71,794","±717","76,342","±801","59,335","±1,458"
"        Computer and mathematical occupations","90,999","±2,174","74.0%","±1.0","26.0%","±1.0","74,723","±860","77,996","±939","65,827","±2,258"
"        Architecture and engineering occupations","63,513","±1,764","83.6%","±1.0","16.4%","±1.0","74,420","±1,248","77,689","±1,545","61,918","±3,268"
"        Life, physical, and social science occupations","26,823","±1,183","57.4%","±2.0","42.6%","±2.0","52,678","±1,896","63,088","±2,685","44,455","±2,580"
"    Education, legal, community service, arts, and media occupations:","256,989","±4,177","35.6%","±0.6","64.4%","±0.6","36,926","±548","45,623","±1,012","32,407","±582"
"        Community and social services occupations","38,079","±1,365","38.3%","±1.5","61.7%","±1.5","36,355","±1,091","40,803","±818","33,400","±1,181"
"        Legal occupations","29,724","±1,210","45.9%","±1.7","54.1%","±1.7","66,697","±2,392","104,282","±3,064","51,396","±1,641"
"        Education, training, and library occupations","136,254","±2,855","27.1%","±0.8","72.9%","±0.8","33,835","±668","42,358","±998","30,522","±731"
"        Arts, design, entertainment, sports, and media occupations","52,932","±1,665","49.7%","±1.4","50.3%","±1.4","33,780","±1,233","41,418","±2,006","26,708","±1,124"
"    Healthcare practitioner and technical occupations:","117,862","±2,621","26.7%","±0.9","73.3%","±0.9","53,356","±825","72,810","±2,707","49,826","±887"
"        Health diagnosing and treating practitioners and other technical occupations","86,372","±2,356","27.6%","±1.0","72.4%","±1.0","61,336","±978","93,173","±5,105","55,209","±859"
"        Health technologists and technicians","31,490","±1,190","24.3%","±1.8","75.7%","±1.8","36,001","±1,178","43,261","±3,630","34,051","±1,072"
"Service occupations:","411,379","±4,874","43.1%","±0.5","56.9%","±0.5","17,348","±222","21,574","±298","14,921","±240"
"    Healthcare support occupations","47,046","±1,636","11.7%","±1.1","88.3%","±1.1","23,368","±620","25,941","±2,084","23,083","±613"
"    Protective service occupations:","50,000","±1,574","77.3%","±1.3","22.7%","±1.3","44,976","±1,566","49,017","±1,950","36,891","±2,018"
"        Fire fighting and prevention, and other protective service workers including supervisors","26,950","±1,181","75.3%","±2.0","24.7%","±2.0","31,984","±1,710","34,785","±1,887","23,502","±4,303"
"        Law enforcement workers including supervisors","23,050","±1,174","79.7%","±1.7","20.3%","±1.7","56,250","±1,443","58,161","±2,191","49,660","±2,346"
"    Food preparation and serving related occupations","141,287","±3,231","45.7%","±1.2","54.3%","±1.2","13,478","±333","15,250","±501","12,259","±331"
"    Building and grounds cleaning and maintenance occupations","89,830","±2,604","55.3%","±1.2","44.7%","±1.2","17,112","±444","20,981","±599","13,587","±519"
"    Personal care and service occupations","83,216","±1,963","22.9%","±1.1","77.1%","±1.1","14,916","±477","20,802","±1,097","13,765","±472"
"Sales and office occupations:","613,272","±5,307","38.6%","±0.4","61.4%","±0.4","30,364","±209","37,571","±648","26,844","±259"
"    Sales and related occupations","281,707","±3,814","52.6%","±0.6","47.4%","±0.6","31,653","±456","41,852","±632","21,955","±532"
"    Office and administrative support occupations","331,565","±3,990","26.7%","±0.5","73.3%","±0.5","29,557","±336","31,682","±605","28,732","±372"
"Natural resources, construction, and maintenance occupations:","252,349","±3,975","95.3%","±0.3","4.7%","±0.3","34,842","±522","35,302","±412","25,025","±3,767"
"    Farming, fishing, and forestry occupations","14,017","±820","78.7%","±2.9","21.3%","±2.9","20,557","±1,405","22,047","±1,355","15,163","±3,314"
"    Construction and extraction occupations","158,736","±3,145","96.8%","±0.4","3.2%","±0.4","32,440","±635","32,826","±773","21,732","±4,985"
"    Installation, maintenance, and repair occupations","79,596","±2,142","95.4%","±0.5","4.6%","±0.5","41,186","±512","41,351","±496","35,977","±3,720"
"Production, transportation, and material moving occupations:","225,583","±3,357","78.5%","±0.6","21.5%","±0.6","29,946","±460","32,345","±472","21,920","±446"
"    Production occupations","97,950","±2,721","72.0%","±1.0","28.0%","±1.0","30,554","±489","34,239","±740","22,021","±545"
"    Transportation occupations","82,758","±1,991","84.5%","±0.7","15.5%","±0.7","34,196","±816","36,254","±897","25,115","±1,455"
"    Material moving occupations","44,875","±1,720","81.8%","±1.2","18.2%","±1.2","21,245","±662","22,114","±807","17,086","±1,337"
"PERCENT IMPUTED","","","","","","","","","","","",""
"    Occupation","5.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
