"Label (Grouping)","California!!Total!!Estimate","California!!Total!!Margin of Error","California!!Male!!Estimate","California!!Male!!Margin of Error","California!!Female!!Estimate","California!!Female!!Margin of Error","California!!Median earnings (dollars)!!Estimate","California!!Median earnings (dollars)!!Margin of Error","California!!Median earnings (dollars) for male!!Estimate","California!!Median earnings (dollars) for male!!Margin of Error","California!!Median earnings (dollars) for female!!Estimate","California!!Median earnings (dollars) for female!!Margin of Error"
"Civilian employed population 16 years and over","16,632,466","±19,046","54.3%","±0.1","45.7%","±0.1","34,847","±127","40,308","±124","29,951","±138"
"Management, business, science, and arts occupations:","6,022,109","±26,967","50.8%","±0.1","49.2%","±0.1","60,385","±136","71,854","±232","50,688","±149"
"    Management, business, and financial occupations:","2,489,987","±11,450","55.4%","±0.2","44.6%","±0.2","64,719","±365","76,092","±444","54,535","±314"
"        Management occupations","1,668,877","±9,876","61.0%","±0.3","39.0%","±0.3","70,925","±363","80,661","±474","58,647","±739"
"        Business and financial operations occupations","821,110","±6,406","43.9%","±0.4","56.1%","±0.4","55,840","±337","65,434","±588","51,106","±333"
"    Computer, engineering, and science occupations:","997,226","±8,988","74.1%","±0.3","25.9%","±0.3","75,979","±345","80,855","±335","63,391","±673"
"        Computer and mathematical occupations","458,821","±6,069","74.8%","±0.4","25.2%","±0.4","78,443","±758","81,855","±483","69,344","±1,368"
"        Architecture and engineering occupations","371,965","±4,487","83.5%","±0.5","16.5%","±0.5","79,788","±685","81,996","±464","65,724","±1,078"
"        Life, physical, and social science occupations","166,440","±3,287","51.3%","±0.8","48.7%","±0.8","59,859","±816","67,102","±1,714","53,550","±741"
"    Education, legal, community service, arts, and media occupations:","1,800,287","±13,376","39.5%","±0.2","60.5%","±0.2","44,101","±278","53,158","±465","39,106","±400"
"        Community and social services occupations","243,259","±4,478","37.5%","±0.8","62.5%","±0.8","41,542","±309","43,743","±768","40,651","±391"
"        Legal occupations","208,992","±3,530","50.0%","±0.7","50.0%","±0.7","82,688","±1,572","110,959","±1,533","64,611","±1,327"
"        Education, training, and library occupations","918,724","±9,895","29.0%","±0.3","71.0%","±0.3","40,606","±417","51,927","±543","35,112","±570"
"        Arts, design, entertainment, sports, and media occupations","429,312","±5,002","57.8%","±0.5","42.2%","±0.5","41,991","±403","47,909","±986","34,913","±848"
"    Healthcare practitioner and technical occupations:","734,609","±6,526","31.0%","±0.3","69.0%","±0.3","62,841","±564","79,067","±2,012","58,847","±973"
"        Health diagnosing and treating practitioners and other technical occupations","518,178","±5,995","31.7%","±0.4","68.3%","±0.4","76,228","±510","101,083","±757","69,910","±793"
"        Health technologists and technicians","216,431","±3,465","29.4%","±0.8","70.6%","±0.8","39,485","±473","42,450","±1,093","37,831","±529"
"Service occupations:","2,897,320","±16,034","46.6%","±0.2","53.4%","±0.2","18,531","±114","22,320","±120","15,582","±100"
"    Healthcare support occupations","307,148","±3,752","15.7%","±0.5","84.3%","±0.5","23,999","±306","26,605","±707","23,521","±323"
"    Protective service occupations:","356,343","±4,148","80.2%","±0.4","19.8%","±0.4","52,827","±927","57,373","±1,382","40,254","±1,146"
"        Fire fighting and prevention, and other protective service workers including supervisors","208,271","±3,259","80.3%","±0.5","19.7%","±0.5","30,205","±465","31,759","±505","23,456","±1,193"
"        Law enforcement workers including supervisors","148,072","±2,536","80.1%","±0.7","19.9%","±0.7","78,191","±1,004","81,162","±682","64,603","±1,588"
"    Food preparation and serving related occupations","848,107","±9,322","50.4%","±0.4","49.6%","±0.4","15,303","±115","17,358","±157","13,073","±152"
"    Building and grounds cleaning and maintenance occupations","717,838","±7,440","61.0%","±0.4","39.0%","±0.4","18,273","±189","21,782","±177","14,230","±177"
"    Personal care and service occupations","667,884","±7,004","22.4%","±0.4","77.6%","±0.4","15,010","±164","19,342","±593","14,102","±176"
"Sales and office occupations:","4,221,411","±14,901","39.9%","±0.2","60.1%","±0.2","30,421","±84","35,417","±186","27,302","±94"
"    Sales and related occupations","1,918,398","±10,570","52.3%","±0.2","47.7%","±0.2","29,584","±311","39,959","±334","20,619","±172"
"    Office and administrative support occupations","2,303,013","±11,886","29.5%","±0.2","70.5%","±0.2","30,762","±86","31,185","±218","30,622","±85"
"Natural resources, construction, and maintenance occupations:","1,651,688","±11,003","93.7%","±0.2","6.3%","±0.2","31,144","±162","31,985","±163","15,484","±321"
"    Farming, fishing, and forestry occupations","244,252","±5,068","74.4%","±0.9","25.6%","±0.9","16,073","±187","17,761","±271","11,598","±232"
"    Construction and extraction occupations","905,810","±7,698","97.7%","±0.1","2.3%","±0.1","32,177","±192","32,235","±186","28,088","±2,142"
"    Installation, maintenance, and repair occupations","501,626","±4,814","95.9%","±0.2","4.1%","±0.2","40,430","±290","40,457","±300","39,480","±2,398"
"Production, transportation, and material moving occupations:","1,839,938","±10,817","76.2%","±0.2","23.8%","±0.2","26,650","±132","30,380","±123","19,480","±179"
"    Production occupations","912,310","±7,483","68.6%","±0.3","31.4%","±0.3","26,710","±178","31,524","±228","19,782","±223"
"    Transportation occupations","521,332","±5,165","88.3%","±0.4","11.7%","±0.4","33,483","±363","35,060","±334","26,507","±529"
"    Material moving occupations","406,296","±4,978","77.5%","±0.5","22.5%","±0.5","19,931","±253","21,461","±221","15,421","±246"
"PERCENT IMPUTED","","","","","","","","","","","",""
"    Occupation","6.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
