"Label (Grouping)","California!!Median earnings (dollars)!!Estimate","California!!Median earnings (dollars)!!Margin of Error","California!!Median earnings (dollars) for male!!Estimate","California!!Median earnings (dollars) for male!!Margin of Error","California!!Median earnings (dollars) for female!!Estimate","California!!Median earnings (dollars) for female!!Margin of Error","California!!Women's earnings as a percentage of men's earning!!Estimate","California!!Women's earnings as a percentage of men's earning!!Margin of Error"
"Civilian employed population 16 years and over with earnings","35,451","±87","40,509","±91","30,548","±68","75.4%","±0.2"
"Management, business, science, and arts occupations:","63,770","±210","76,200","±269","54,029","±253","70.9%","±0.4"
"    Management, business, and financial occupations:","69,359","±389","80,209","±338","60,177","±226","75.0%","±0.4"
"        Management occupations","74,764","±460","83,841","±688","62,864","±601","75.0%","±0.9"
"        Business and financial operations occupations","61,085","±228","70,271","±540","55,192","±458","78.5%","±0.9"
"    Computer, engineering, and science occupations:","84,143","±409","90,396","±377","70,579","±604","78.1%","±0.7"
"        Computer and mathematical occupations","88,247","±816","92,890","±723","75,782","±1,150","81.6%","±1.5"
"        Architecture and engineering occupations","88,139","±1,053","91,296","±660","74,240","±1,622","81.3%","±1.8"
"        Life, physical, and social science occupations","63,217","±975","68,930","±1,684","59,707","±1,739","86.6%","±3.2"
"    Education, legal, community service, arts, and media occupations:","45,410","±278","52,815","±618","40,474","±252","76.6%","±1.0"
"        Community and social services occupations","42,537","±480","44,703","±1,013","41,952","±376","93.8%","±2.3"
"        Legal occupations","90,954","±1,513","117,235","±4,314","71,451","±1,137","60.9%","±2.6"
"        Education, training, and library occupations","40,398","±329","50,849","±396","35,598","±422","70.0%","±1.0"
"        Arts, design, entertainment, sports, and media occupations","42,149","±299","50,028","±870","35,758","±527","71.5%","±1.8"
"    Healthcare practitioner and technical occupations:","68,329","±768","81,091","±765","63,557","±591","78.4%","±1.0"
"        Health diagnosing and treating practitioners and other technical occupations","83,088","±489","103,125","±1,081","78,201","±791","75.8%","±1.1"
"        Health technologists and technicians","41,059","±325","45,406","±905","39,901","±658","87.9%","±2.2"
"Service occupations:","19,206","±93","22,360","±105","16,269","±81","72.8%","±0.5"
"    Healthcare support occupations","25,249","±203","26,509","±490","24,990","±256","94.3%","±1.9"
"    Protective service occupations:","50,982","±683","54,750","±1,464","38,980","±2,075","71.2%","±4.2"
"        Fire fighting and prevention, and other protective service workers including supervisors","27,584","±583","29,025","±690","23,113","±1,033","79.6%","±4.1"
"        Law enforcement workers including supervisors","83,230","±807","86,378","±1,042","69,382","±1,881","80.3%","±2.4"
"    Food preparation and serving related occupations","16,099","±115","18,209","±250","14,072","±155","77.3%","±1.3"
"    Building and grounds cleaning and maintenance occupations","19,720","±160","22,648","±257","15,207","±203","67.1%","±1.2"
"    Personal care and service occupations","15,357","±153","18,363","±432","14,607","±178","79.5%","±2.0"
"Sales and office occupations:","30,360","±70","34,277","±350","27,361","±117","79.8%","±0.9"
"    Sales and related occupations","27,276","±161","38,181","±507","20,076","±198","52.6%","±0.9"
"    Office and administrative support occupations","31,266","±79","30,925","±169","31,406","±91","101.6%","±0.6"
"Natural resources, construction, and maintenance occupations:","30,866","±129","31,787","±124","15,628","±249","49.2%","±0.8"
"    Farming, fishing, and forestry occupations","17,321","±184","19,921","±282","12,480","±273","62.6%","±1.6"
"    Construction and extraction occupations","32,108","±140","32,160","±141","29,508","±1,869","91.8%","±5.9"
"    Installation, maintenance, and repair occupations","40,469","±197","40,487","±198","39,761","±2,401","98.2%","±6.0"
"Production, transportation, and material moving occupations:","27,341","±107","30,631","±121","20,748","±143","67.7%","±0.5"
"    Production occupations","28,577","±311","32,289","±200","21,355","±177","66.1%","±0.7"
"    Transportation occupations","34,020","±585","35,366","±284","26,800","±441","75.8%","±1.4"
"    Material moving occupations","20,751","±154","22,133","±179","16,690","±295","75.4%","±1.4"
