"Label (Grouping)","Utah!!Median earnings (dollars)!!Estimate","Utah!!Median earnings (dollars)!!Margin of Error","Utah!!Median earnings (dollars) for male!!Estimate","Utah!!Median earnings (dollars) for male!!Margin of Error","Utah!!Median earnings (dollars) for female!!Estimate","Utah!!Median earnings (dollars) for female!!Margin of Error","Utah!!Women's earnings as a percentage of men's earning!!Estimate","Utah!!Women's earnings as a percentage of men's earning!!Margin of Error"
"Civilian employed population 16 years and over with earnings","32,155","±136","41,629","±225","24,103","±282","57.9%","±0.7"
"    Management, business, science, and arts occupations:","50,738","±308","65,255","±501","36,846","±404","56.5%","±0.8"
"        Management, business, and financial occupations:","59,266","±1,083","70,060","±1,063","44,037","±912","62.9%","±1.7"
"            Management occupations","63,293","±1,048","73,689","±862","46,810","±1,519","63.5%","±2.2"
"            Business and financial operations occupations","51,012","±815","61,940","±1,037","41,823","±880","67.5%","±1.9"
"        Computer, engineering, and science occupations:","65,745","±1,167","70,394","±1,079","49,142","±2,173","69.8%","±3.0"
"            Computer and mathematical occupations","68,043","±1,735","71,686","±1,308","52,247","±2,581","72.9%","±3.6"
"            Architecture and engineering occupations","69,477","±2,006","71,715","±1,496","48,750","±6,007","68.0%","±8.1"
"            Life, physical, and social science occupations","48,815","±2,583","52,437","±3,057","43,025","±4,647","82.1%","±9.0"
"        Education, legal, community service, arts, and media occupations:","33,094","±872","47,392","±1,237","25,409","±842","53.6%","±2.3"
"            Community and social services occupations","35,639","±1,256","43,862","±4,136","31,281","±1,499","71.3%","±6.8"
"            Legal occupations","66,899","±7,042","101,535","±8,547","45,893","±5,063","45.2%","±6.8"
"            Education, training, and library occupations","29,562","±1,727","44,147","±1,677","22,315","±1,271","50.5%","±3.5"
"            Arts, design, entertainment, sports, and media occupations","30,169","±1,543","40,884","±1,530","19,806","±1,751","48.4%","±4.4"
"        Healthcare practitioner and technical occupations:","48,920","±1,278","76,074","±3,918","40,922","±800","53.8%","±3.0"
"            Health diagnosing and treating practitioners and other technical occupations","60,299","±1,278","102,731","±3,858","50,666","±900","49.3%","±2.1"
"            Health technologists and technicians","29,977","±1,174","35,099","±3,943","28,076","±1,498","80.0%","±9.6"
"    Service occupations:","15,385","±298","19,572","±641","12,935","±404","66.1%","±2.7"
"        Healthcare support occupations","20,277","±545","19,815","±1,875","20,346","±569","102.7%","±10.4"
"        Protective service occupations:","40,141","±1,224","44,444","±1,859","20,515","±4,911","46.2%","±11.1"
"            Fire fighting and prevention, and other protective service workers including supervisors","26,627","±2,295","35,090","±3,746","9,104","±1,790","25.9%","±6.2"
"            Law enforcement workers including supervisors","48,542","±2,804","50,716","±1,790","40,136","±3,921","79.1%","±7.9"
"        Food preparation and serving related occupations","11,456","±324","12,085","±518","10,952","±350","90.6%","±4.5"
"        Building and grounds cleaning and maintenance occupations","16,423","±824","20,680","±905","11,485","±835","55.5%","±4.4"
"        Personal care and service occupations","12,393","±414","14,847","±1,820","12,103","±399","81.5%","±10.6"
"    Sales and office occupations:","26,459","±271","34,185","±1,143","22,860","±439","66.9%","±2.5"
"        Sales and related occupations","29,099","±997","41,950","±742","17,171","±548","40.9%","±1.5"
"        Office and administrative support occupations","25,636","±300","26,740","±579","25,213","±356","94.3%","±2.5"
"    Natural resources, construction, and maintenance occupations:","37,513","±772","38,167","±855","19,362","±2,316","50.7%","±6.1"
"        Farming, fishing, and forestry occupations","20,605","±1,142","21,143","±953","18,412","±1,075","87.1%","±6.0"
"        Construction and extraction occupations","36,169","±556","36,420","±518","13,192","±5,129","36.2%","±14.1"
"        Installation, maintenance, and repair occupations","42,682","±1,180","43,064","±1,281","30,806","±7,233","71.5%","±17.1"
"    Production, transportation, and material moving occupations:","30,579","±304","33,935","±911","22,108","±549","65.1%","±2.3"
"        Production occupations","31,237","±340","35,723","±597","23,334","±582","65.3%","±1.9"
"        Transportation occupations","39,333","±2,064","41,881","±753","24,377","±1,857","58.2%","±4.4"
"        Material moving occupations","21,424","±802","23,476","±977","16,672","±1,459","71.0%","±6.4"
