"Label (Grouping)","Colorado!!Median earnings (dollars)!!Estimate","Colorado!!Median earnings (dollars)!!Margin of Error","Colorado!!Median earnings (dollars) for male!!Estimate","Colorado!!Median earnings (dollars) for male!!Margin of Error","Colorado!!Median earnings (dollars) for female!!Estimate","Colorado!!Median earnings (dollars) for female!!Margin of Error","Colorado!!Women's earnings as a percentage of men's earning!!Estimate","Colorado!!Women's earnings as a percentage of men's earning!!Margin of Error"
"Civilian employed population 16 years and over with earnings","36,786","±152","42,399","±192","31,087","±140","73.3%","±0.4"
"Management, business, science, and arts occupations:","55,621","±344","69,596","±796","46,752","±288","67.2%","±0.9"
"    Management, business, and financial occupations:","62,110","±387","72,450","±913","52,877","±655","73.0%","±1.3"
"        Management occupations","66,144","±689","75,139","±985","55,233","±1,019","73.5%","±1.8"
"        Business and financial operations occupations","56,044","±705","65,771","±1,555","51,205","±620","77.9%","±2.0"
"    Computer, engineering, and science occupations:","75,343","±517","80,468","±615","61,463","±1,248","76.4%","±1.6"
"        Computer and mathematical occupations","78,470","±1,427","82,210","±1,111","67,269","±2,157","81.8%","±2.7"
"        Architecture and engineering occupations","77,589","±1,390","81,112","±1,016","65,525","±1,928","80.8%","±2.5"
"        Life, physical, and social science occupations","54,981","±1,957","62,925","±3,072","49,461","±3,185","78.6%","±5.8"
"    Education, legal, community service, arts, and media occupations:","38,701","±509","46,015","±749","35,396","±404","76.9%","±1.5"
"        Community and social services occupations","40,103","±632","42,060","±1,188","38,963","±1,007","92.6%","±3.4"
"        Legal occupations","71,667","±2,412","103,246","±4,638","57,414","±2,327","55.6%","±3.0"
"        Education, training, and library occupations","35,825","±498","43,880","±1,246","32,117","±513","73.2%","±2.3"
"        Arts, design, entertainment, sports, and media occupations","33,472","±1,634","39,617","±1,934","27,360","±1,694","69.1%","±5.4"
"    Healthcare practitioner and technical occupations:","55,604","±712","74,609","±3,047","51,847","±451","69.5%","±2.9"
"        Health diagnosing and treating practitioners and other technical occupations","63,158","±960","100,809","±4,163","59,240","±1,185","58.8%","±2.5"
"        Health technologists and technicians","37,814","±1,266","44,137","±2,965","36,413","±842","82.5%","±6.2"
"Service occupations:","19,517","±261","23,034","±430","16,445","±244","71.4%","±1.6"
"    Healthcare support occupations","24,708","±474","26,885","±1,302","24,288","±558","90.3%","±5.3"
"    Protective service occupations:","45,582","±1,193","48,751","±1,809","36,598","±1,820","75.1%","±4.7"
"        Fire fighting and prevention, and other protective service workers including supervisors","31,430","±637","34,680","±2,417","21,529","±1,666","62.1%","±6.4"
"        Law enforcement workers including supervisors","57,484","±1,310","60,087","±1,504","50,928","±1,903","84.8%","±3.8"
"    Food preparation and serving related occupations","14,960","±411","17,210","±522","12,906","±451","75.0%","±3.3"
"    Building and grounds cleaning and maintenance occupations","19,220","±501","23,090","±840","15,252","±498","66.1%","±3.3"
"    Personal care and service occupations","16,785","±436","20,475","±1,008","15,911","±448","77.7%","±4.3"
"Sales and office occupations:","31,016","±157","37,467","±563","27,524","±329","73.5%","±1.5"
"    Sales and related occupations","31,570","±313","41,813","±521","22,104","±425","52.9%","±1.3"
"    Office and administrative support occupations","30,697","±188","32,059","±420","30,284","±222","94.5%","±1.5"
"Natural resources, construction, and maintenance occupations:","36,405","±323","36,711","±336","25,811","±1,386","70.3%","±4.0"
"    Farming, fishing, and forestry occupations","21,972","±753","23,697","±1,325","14,641","±1,376","61.8%","±7.0"
"    Construction and extraction occupations","35,521","±361","35,620","±370","27,130","±5,154","76.2%","±14.6"
"    Installation, maintenance, and repair occupations","41,651","±446","41,784","±438","34,380","±3,833","82.3%","±9.1"
"Production, transportation, and material moving occupations:","31,087","±242","33,315","±556","23,229","±1,089","69.7%","±3.5"
"    Production occupations","31,948","±371","36,221","±501","23,150","±1,070","63.9%","±3.0"
"    Transportation occupations","35,553","±527","36,781","±559","28,000","±1,676","76.1%","±4.8"
"    Material moving occupations","22,619","±760","24,226","±921","19,205","±1,515","79.3%","±6.9"
