"Label (Grouping)","Colorado!!Total!!Estimate","Colorado!!Total!!Margin of Error","Colorado!!Male!!Estimate","Colorado!!Male!!Margin of Error","Colorado!!Female!!Estimate","Colorado!!Female!!Margin of Error","Colorado!!Median earnings (dollars)!!Estimate","Colorado!!Median earnings (dollars)!!Margin of Error","Colorado!!Median earnings (dollars) for male!!Estimate","Colorado!!Median earnings (dollars) for male!!Margin of Error","Colorado!!Median earnings (dollars) for female!!Estimate","Colorado!!Median earnings (dollars) for female!!Margin of Error"
"Civilian employed population 16 years and over","2,560,703","±6,828","53.4%","±0.1","46.6%","±0.1","36,147","±176","42,318","±231","30,490","±155"
"Management, business, science, and arts occupations:","1,026,402","±7,134","50.3%","±0.3","49.7%","±0.3","54,859","±258","68,554","±785","46,088","±328"
"    Management, business, and financial occupations:","439,174","±4,137","56.0%","±0.5","44.0%","±0.5","61,152","±472","71,023","±899","52,103","±535"
"        Management occupations","297,445","±3,777","61.8%","±0.6","38.2%","±0.6","65,341","±647","73,572","±1,290","53,980","±687"
"        Business and financial operations occupations","141,729","±2,529","43.9%","±1.0","56.1%","±1.0","55,011","±654","64,848","±1,551","50,124","±710"
"    Computer, engineering, and science occupations:","185,989","±3,397","74.6%","±0.7","25.4%","±0.7","75,077","±740","80,236","±895","62,278","±1,491"
"        Computer and mathematical occupations","95,928","±2,293","75.5%","±0.9","24.5%","±0.9","77,626","±1,301","81,336","±1,033","70,562","±1,850"
"        Architecture and engineering occupations","61,788","±1,540","82.1%","±1.0","17.9%","±1.0","78,417","±1,771","82,187","±1,026","64,895","±2,822"
"        Life, physical, and social science occupations","28,273","±1,215","55.4%","±1.9","44.6%","±1.9","55,779","±2,627","66,022","±2,837","49,024","±2,764"
"    Education, legal, community service, arts, and media occupations:","273,056","±3,849","35.8%","±0.6","64.2%","±0.6","38,162","±454","45,928","±947","34,108","±606"
"        Community and social services occupations","41,115","±1,322","35.4%","±1.7","64.6%","±1.7","38,912","±891","42,454","±1,156","36,868","±720"
"        Legal occupations","29,405","±1,309","46.4%","±1.8","53.6%","±1.8","68,590","±3,131","106,057","±5,019","52,098","±1,568"
"        Education, training, and library occupations","145,103","±2,808","28.2%","±0.8","71.8%","±0.8","35,636","±595","43,884","±767","31,821","±655"
"        Arts, design, entertainment, sports, and media occupations","57,433","±1,682","49.7%","±1.4","50.3%","±1.4","33,170","±1,198","39,665","±1,534","26,683","±1,212"
"    Healthcare practitioner and technical occupations:","128,183","±2,326","26.7%","±0.6","73.3%","±0.6","55,457","±726","74,401","±2,968","51,872","±528"
"        Health diagnosing and treating practitioners and other technical occupations","93,535","±1,998","27.4%","±0.8","72.6%","±0.8","62,757","±830","95,500","±7,767","57,768","±897"
"        Health technologists and technicians","34,648","±1,310","24.9%","±1.5","75.1%","±1.5","38,067","±1,132","45,207","±3,406","36,357","±943"
"Service occupations:","446,933","±4,936","44.4%","±0.5","55.6%","±0.5","18,378","±258","22,262","±294","15,615","±212"
"    Healthcare support occupations","53,724","±1,439","14.6%","±1.1","85.4%","±1.1","24,307","±482","26,771","±970","23,805","±535"
"    Protective service occupations:","54,519","±1,671","78.2%","±1.3","21.8%","±1.3","45,606","±1,269","49,668","±1,961","36,681","±2,212"
"        Fire fighting and prevention, and other protective service workers including supervisors","30,173","±1,341","76.5%","±1.7","23.5%","±1.7","32,312","±1,208","35,316","±1,798","22,466","±2,483"
"        Law enforcement workers including supervisors","24,346","±1,182","80.3%","±1.9","19.7%","±1.9","57,554","±1,449","59,477","±1,760","51,184","±1,980"
"    Food preparation and serving related occupations","156,281","±3,481","48.1%","±0.9","51.9%","±0.9","14,358","±363","16,332","±451","12,709","±384"
"    Building and grounds cleaning and maintenance occupations","93,235","±2,405","56.4%","±1.1","43.6%","±1.1","17,966","±423","21,907","±562","14,109","±552"
"    Personal care and service occupations","89,174","±1,972","22.9%","±1.0","77.1%","±1.0","15,593","±446","20,750","±770","14,338","±427"
"Sales and office occupations:","616,388","±4,452","39.4%","±0.4","60.6%","±0.4","30,588","±216","37,204","±537","27,003","±223"
"    Sales and related occupations","285,786","±3,182","52.5%","±0.6","47.5%","±0.6","31,076","±475","41,387","±602","21,336","±535"
"    Office and administrative support occupations","330,602","±3,860","28.2%","±0.5","71.8%","±0.5","30,336","±219","31,919","±585","29,796","±348"
"Natural resources, construction, and maintenance occupations:","241,032","±3,273","95.4%","±0.3","4.6%","±0.3","35,745","±408","36,171","±428","26,218","±2,791"
"    Farming, fishing, and forestry occupations","13,907","±1,101","79.0%","±2.8","21.0%","±2.8","22,172","±1,271","24,787","±1,516","14,212","±1,804"
"    Construction and extraction occupations","148,228","±2,691","97.0%","±0.4","3.0%","±0.4","34,202","±655","34,385","±701","28,838","±6,250"
"    Installation, maintenance, and repair occupations","78,897","±1,903","95.3%","±0.6","4.7%","±0.6","41,615","±573","41,757","±587","35,569","±5,605"
"Production, transportation, and material moving occupations:","229,948","±3,241","78.4%","±0.5","21.6%","±0.5","30,651","±348","32,771","±505","23,302","±885"
"    Production occupations","98,821","±2,319","72.3%","±0.9","27.7%","±0.9","31,958","±491","35,721","±642","23,263","±934"
"    Transportation occupations","83,646","±2,092","84.2%","±0.8","15.8%","±0.8","34,372","±1,027","36,231","±908","27,003","±1,537"
"    Material moving occupations","47,481","±1,592","81.1%","±1.4","18.9%","±1.4","21,945","±787","22,620","±946","18,629","±1,753"
"PERCENT IMPUTED","","","","","","","","","","","",""
"    Occupation","9.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
