"Label (Grouping)","California!!Median earnings (dollars)!!Estimate","California!!Median earnings (dollars)!!Margin of Error","California!!Median earnings (dollars) for male!!Estimate","California!!Median earnings (dollars) for male!!Margin of Error","California!!Median earnings (dollars) for female!!Estimate","California!!Median earnings (dollars) for female!!Margin of Error","California!!Women's earnings as a percentage of men's earning!!Estimate","California!!Women's earnings as a percentage of men's earning!!Margin of Error"
"Civilian employed population 16 years and over with earnings","44,085","±104","50,899","±187","38,114","±159","74.9%","±0.4"
"    Management, business, science, and arts occupations:","77,662","±206","91,356","±474","65,833","±236","72.1%","±0.4"
"        Management, business, and financial occupations:","83,424","±310","95,568","±654","72,712","±432","76.1%","±0.7"
"            Management occupations","88,936","±447","101,405","±630","76,347","±647","75.3%","±0.8"
"            Business and financial operations occupations","75,499","±458","84,911","±882","68,160","±572","80.3%","±1.1"
"        Computer, engineering, and science occupations:","102,828","±516","107,632","±618","86,948","±942","80.8%","±1.0"
"            Computer and mathematical occupations","108,079","±719","113,173","±1,346","93,984","±1,501","83.0%","±1.6"
"            Architecture and engineering occupations","103,778","±800","106,023","±623","90,006","±1,951","84.9%","±1.8"
"            Life, physical, and social science occupations","79,686","±1,221","85,960","±2,172","74,573","±1,453","86.8%","±2.7"
"        Education, legal, community service, arts, and media occupations:","53,708","±245","63,433","±499","48,318","±526","76.2%","±1.1"
"            Community and social service occupations","51,688","±591","52,650","±888","51,129","±730","97.1%","±2.0"
"            Legal occupations","105,918","±1,343","145,644","±5,441","84,435","±1,773","58.0%","±2.4"
"            Educational instruction, and library occupations","45,948","±597","58,153","±1,367","41,156","±607","70.8%","±2.2"
"            Arts, design, entertainment, sports, and media occupations","53,622","±479","59,247","±1,403","46,395","±1,503","78.3%","±3.2"
"        Healthcare practitioners and technical occupations:","79,305","±523","92,103","±1,626","75,238","±711","81.7%","±1.7"
"            Health diagnosing and treating practitioners and other technical occupations","98,914","±811","119,210","±2,742","92,848","±753","77.9%","±1.9"
"            Health technologists and technicians","47,872","±628","53,435","±973","45,143","±603","84.5%","±1.8"
"    Service occupations:","24,656","±159","29,134","±234","21,104","±99","72.4%","±0.6"
"        Healthcare support occupations","26,005","±185","26,799","±591","25,831","±171","96.4%","±2.1"
"        Protective service occupations:","57,223","±1,695","64,479","±1,314","41,813","±1,125","64.8%","±1.9"
"            Firefighting and prevention, and other protective service workers including supervisors","35,583","±688","37,939","±804","29,109","±1,761","76.7%","±5.0"
"            Law enforcement workers including supervisors","94,827","±1,195","98,692","±1,550","80,704","±2,212","81.8%","±2.5"
"        Food preparation and serving related occupations","20,385","±130","22,440","±217","17,607","±263","78.5%","±1.3"
"        Building and grounds cleaning and maintenance occupations","25,910","±207","30,421","±266","19,940","±320","65.5%","±1.1"
"        Personal care and service occupations","20,119","±246","23,919","±876","18,710","±406","78.2%","±3.1"
"    Sales and office occupations:","36,772","±205","42,556","±273","33,573","±189","78.9%","±0.6"
"        Sales and related occupations","34,208","±278","45,599","±680","25,800","±254","56.6%","±0.9"
"        Office and administrative support occupations","38,230","±193","39,236","±345","37,848","±230","96.5%","±1.0"
"    Natural resources, construction, and maintenance occupations:","40,058","±257","41,648","±237","20,952","±375","50.3%","±1.0"
"        Farming, fishing, and forestry occupations","22,663","±487","26,140","±319","17,463","±351","66.8%","±1.5"
"        Construction and extraction occupations","42,180","±337","42,271","±336","38,520","±3,001","91.1%","±7.1"
"        Installation, maintenance, and repair occupations","49,653","±534","49,898","±510","43,252","±1,961","86.7%","±3.9"
"    Production, transportation, and material moving occupations:","32,838","±147","36,346","±197","25,707","±158","70.7%","±0.6"
"        Production occupations","35,703","±278","40,609","±331","27,436","±265","67.6%","±0.9"
"        Transportation occupations","40,268","±369","42,148","±400","29,855","±910","70.8%","±2.4"
"        Material moving occupations","26,004","±157","27,950","±324","21,745","±238","77.8%","±1.0"
