"Label (Grouping)","Utah!!Total!!Estimate","Utah!!Total!!Margin of Error","Utah!!Male!!Estimate","Utah!!Male!!Margin of Error","Utah!!Female!!Estimate","Utah!!Female!!Margin of Error","Utah!!Median earnings (dollars)!!Estimate","Utah!!Median earnings (dollars)!!Margin of Error","Utah!!Median earnings (dollars) for male!!Estimate","Utah!!Median earnings (dollars) for male!!Margin of Error","Utah!!Median earnings (dollars) for female!!Estimate","Utah!!Median earnings (dollars) for female!!Margin of Error"
"Civilian employed population 16 years and over","1,299,818","±4,049","55.8%","±0.2","44.2%","±0.2","30,973","±178","40,311","±311","22,284","±214"
"Management, business, science, and arts occupations:","475,857","±4,215","54.6%","±0.4","45.4%","±0.4","48,829","±559","61,910","±563","36,199","±440"
"    Management, business, and financial occupations:","189,743","±3,084","62.9%","±0.7","37.1%","±0.7","54,992","±791","65,674","±872","42,050","±633"
"        Management occupations","126,839","±2,499","67.9%","±0.8","32.1%","±0.8","60,925","±873","69,519","±1,711","44,682","±1,343"
"        Business and financial operations occupations","62,904","±1,617","52.7%","±1.2","47.3%","±1.2","48,191","±1,237","57,428","±1,962","39,765","±959"
"    Computer, engineering, and science occupations:","80,248","±1,782","81.5%","±0.9","18.5%","±0.9","61,585","±1,039","65,241","±1,111","44,779","±2,826"
"        Computer and mathematical occupations","42,982","±1,414","82.4%","±1.2","17.6%","±1.2","62,560","±1,495","65,439","±1,714","51,524","±2,227"
"        Architecture and engineering occupations","25,913","±976","89.0%","±1.3","11.0%","±1.3","66,180","±1,201","68,348","±2,380","43,254","±6,048"
"        Life, physical, and social science occupations","11,353","±626","60.6%","±2.8","39.4%","±2.8","43,392","±2,472","49,502","±2,475","36,287","±2,264"
"    Education, legal, community service, arts, and media occupations:","144,596","±2,385","37.8%","±0.8","62.2%","±0.8","33,428","±853","46,567","±1,282","25,509","±771"
"        Community and social services occupations","17,381","±1,051","42.9%","±2.6","57.1%","±2.6","36,744","±1,528","43,264","±2,103","32,248","±2,037"
"        Legal occupations","12,022","±722","58.9%","±3.4","41.1%","±3.4","63,885","±4,527","94,479","±10,451","44,871","±3,461"
"        Education, training, and library occupations","89,098","±1,893","29.3%","±0.9","70.7%","±0.9","30,326","±1,150","44,192","±1,943","22,850","±1,271"
"        Arts, design, entertainment, sports, and media occupations","26,095","±1,131","53.8%","±1.8","46.2%","±1.8","27,572","±2,154","40,258","±2,445","17,211","±1,753"
"    Healthcare practitioner and technical occupations:","61,270","±1,689","33.0%","±1.3","67.0%","±1.3","50,077","±792","73,246","±2,843","42,052","±1,056"
"        Health diagnosing and treating practitioners and other technical occupations","42,775","±1,353","36.3%","±1.5","63.7%","±1.5","58,618","±1,478","92,254","±5,632","50,452","±963"
"        Health technologists and technicians","18,495","±958","25.5%","±2.0","74.5%","±2.0","31,284","±1,038","41,569","±1,849","28,991","±1,403"
"Service occupations:","202,605","±3,390","43.3%","±0.7","56.7%","±0.7","14,112","±292","17,475","±615","12,072","±237"
"    Healthcare support occupations","28,630","±1,225","16.5%","±1.4","83.5%","±1.4","17,951","±614","19,552","±1,375","17,605","±624"
"    Protective service occupations:","22,618","±1,010","77.0%","±2.0","23.0%","±2.0","39,175","±1,633","42,907","±1,492","24,107","±5,021"
"        Fire fighting and prevention, and other protective service workers including supervisors","13,627","±775","73.7%","±3.0","26.3%","±3.0","26,981","±1,538","32,233","±2,606","14,231","±6,020"
"        Law enforcement workers including supervisors","8,991","±714","82.1%","±2.7","17.9%","±2.7","48,486","±2,024","50,026","±1,618","41,332","±3,778"
"    Food preparation and serving related occupations","66,659","±2,215","41.7%","±1.3","58.3%","±1.3","11,380","±335","12,451","±661","10,638","±413"
"    Building and grounds cleaning and maintenance occupations","47,486","±1,455","63.5%","±1.6","36.5%","±1.6","14,245","±670","16,838","±830","10,763","±712"
"    Personal care and service occupations","37,212","±1,431","20.4%","±1.3","79.6%","±1.3","10,926","±374","13,196","±2,083","10,569","±409"
"Sales and office occupations:","342,697","±3,899","41.1%","±0.5","58.9%","±0.5","24,928","±370","31,974","±491","21,478","±318"
"    Sales and related occupations","147,653","±2,835","55.1%","±0.8","44.9%","±0.8","25,522","±583","39,271","±1,448","15,248","±536"
"    Office and administrative support occupations","195,044","±2,845","30.5%","±0.7","69.5%","±0.7","24,612","±386","26,249","±574","23,935","±428"
"Natural resources, construction, and maintenance occupations:","118,303","±2,197","96.5%","±0.3","3.5%","±0.3","37,366","±758","37,902","±787","22,029","±2,375"
"    Farming, fishing, and forestry occupations","5,611","±468","83.6%","±3.0","16.4%","±3.0","19,971","±1,946","20,511","±1,317","14,018","±4,124"
"    Construction and extraction occupations","69,476","±1,857","97.7%","±0.4","2.3%","±0.4","35,523","±922","35,860","±915","17,655","±3,098"
"    Installation, maintenance, and repair occupations","43,216","±1,406","96.1%","±0.6","3.9%","±0.6","42,346","±901","42,704","±912","29,492","±6,264"
"Production, transportation, and material moving occupations:","160,356","±2,581","76.6%","±0.8","23.4%","±0.8","29,644","±657","32,919","±577","20,953","±474"
"    Production occupations","84,244","±2,108","71.0%","±1.1","29.0%","±1.1","30,257","±551","34,100","±631","22,538","±795"
"    Transportation occupations","42,713","±1,244","86.1%","±1.1","13.9%","±1.1","36,871","±1,215","39,773","±1,174","22,166","±1,592"
"    Material moving occupations","33,399","±1,248","78.6%","±1.5","21.4%","±1.5","20,982","±924","23,520","±1,075","12,805","±1,537"
"PERCENT IMPUTED","","","","","","","","","","","",""
"    Occupation","6.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
