"Label (Grouping)","California!!Total!!Estimate","California!!Total!!Margin of Error","California!!Male!!Estimate","California!!Male!!Margin of Error","California!!Female!!Estimate","California!!Female!!Margin of Error","California!!Median earnings (dollars)!!Estimate","California!!Median earnings (dollars)!!Margin of Error","California!!Median earnings (dollars) for male!!Estimate","California!!Median earnings (dollars) for male!!Margin of Error","California!!Median earnings (dollars) for female!!Estimate","California!!Median earnings (dollars) for female!!Margin of Error"
"Civilian employed population 16 years and over","16,635,854","±19,001","53.9%","±0.1","46.1%","±0.1","34,886","±124","40,131","±142","30,375","±69"
"Management, business, science, and arts occupations:","6,132,193","±25,342","50.4%","±0.1","49.6%","±0.1","62,703","±151","74,897","±304","53,081","±167"
"    Management, business, and financial occupations:","2,492,835","±13,250","54.8%","±0.2","45.2%","±0.2","66,690","±252","78,014","±751","57,386","±327"
"        Management occupations","1,668,348","±9,923","60.0%","±0.3","40.0%","±0.3","72,963","±504","82,199","±443","61,444","±396"
"        Business and financial operations occupations","824,487","±7,552","44.2%","±0.4","55.8%","±0.4","59,301","±390","67,483","±827","53,478","±388"
"    Computer, engineering, and science occupations:","1,021,528","±8,940","73.9%","±0.3","26.1%","±0.3","81,076","±307","85,838","±313","67,917","±898"
"        Computer and mathematical occupations","485,137","±5,376","75.0%","±0.4","25.0%","±0.4","83,904","±773","87,306","±586","72,810","±1,150"
"        Architecture and engineering occupations","361,623","±4,981","83.4%","±0.5","16.6%","±0.5","85,177","±468","87,044","±471","72,074","±1,055"
"        Life, physical, and social science occupations","174,768","±3,041","51.4%","±0.8","48.6%","±0.8","62,340","±784","68,381","±1,865","56,933","±1,624"
"    Education, legal, community service, arts, and media occupations:","1,827,233","±12,569","39.9%","±0.2","60.1%","±0.2","45,431","±351","53,878","±424","40,404","±322"
"        Community and social services occupations","248,722","±3,678","36.8%","±0.8","63.2%","±0.8","43,491","±434","44,976","±863","42,769","±538"
"        Legal occupations","211,818","±3,590","49.9%","±0.6","50.1%","±0.6","87,071","±1,201","117,681","±2,920","67,229","±1,224"
"        Education, training, and library occupations","922,231","±9,361","29.5%","±0.3","70.5%","±0.3","40,846","±489","52,440","±667","35,433","±663"
"        Arts, design, entertainment, sports, and media occupations","444,462","±5,246","58.3%","±0.5","41.7%","±0.5","42,579","±534","48,390","±925","35,234","±899"
"    Healthcare practitioner and technical occupations:","790,597","±6,435","30.8%","±0.4","69.2%","±0.4","67,471","±725","81,672","±791","63,387","±483"
"        Health diagnosing and treating practitioners and other technical occupations","563,803","±5,764","30.8%","±0.4","69.2%","±0.4","81,978","±371","104,002","±1,295","76,242","±447"
"        Health technologists and technicians","226,794","±3,251","30.6%","±0.8","69.4%","±0.8","41,202","±384","44,174","±939","40,053","±429"
"Service occupations:","3,096,848","±14,456","46.3%","±0.2","53.7%","±0.2","18,675","±102","22,227","±125","15,943","±89"
"    Healthcare support occupations","338,945","±4,167","17.6%","±0.5","82.4%","±0.5","24,793","±304","26,016","±496","24,515","±292"
"    Protective service occupations:","367,416","±5,045","80.5%","±0.5","19.5%","±0.5","53,489","±799","57,955","±1,438","42,544","±1,395"
"        Fire fighting and prevention, and other protective service workers including supervisors","218,746","±4,441","80.4%","±0.5","19.6%","±0.5","29,544","±788","30,804","±512","24,584","±970"
"        Law enforcement workers including supervisors","148,670","±3,347","80.6%","±0.9","19.4%","±0.9","81,197","±596","83,860","±1,388","67,342","±1,366"
"    Food preparation and serving related occupations","904,431","±7,876","50.9%","±0.4","49.1%","±0.4","15,670","±102","17,323","±161","13,896","±142"
"    Building and grounds cleaning and maintenance occupations","738,171","±7,572","60.9%","±0.4","39.1%","±0.4","18,430","±158","21,912","±180","14,544","±168"
"    Personal care and service occupations","747,885","±7,018","22.6%","±0.3","77.4%","±0.3","15,118","±157","18,914","±462","14,272","±161"
"Sales and office occupations:","4,056,554","±14,630","40.0%","±0.2","60.0%","±0.2","30,413","±90","34,407","±284","27,506","±155"
"    Sales and related occupations","1,860,393","±10,050","51.5%","±0.2","48.5%","±0.2","27,246","±181","38,396","±398","20,008","±199"
"    Office and administrative support occupations","2,196,161","±10,791","30.2%","±0.2","69.8%","±0.2","31,442","±98","31,064","±198","31,581","±112"
"Natural resources, construction, and maintenance occupations:","1,536,448","±9,998","93.2%","±0.2","6.8%","±0.2","30,340","±138","31,271","±135","15,240","±296"
"    Farming, fishing, and forestry occupations","266,731","±5,139","74.3%","±0.6","25.7%","±0.6","16,394","±149","18,206","±264","12,063","±200"
"    Construction and extraction occupations","784,374","±6,720","97.8%","±0.1","2.2%","±0.1","31,548","±191","31,613","±190","28,012","±3,209"
"    Installation, maintenance, and repair occupations","485,343","±5,774","96.1%","±0.2","3.9%","±0.2","40,401","±348","40,472","±356","38,056","±1,986"
"Production, transportation, and material moving occupations:","1,813,811","±9,888","76.9%","±0.2","23.1%","±0.2","26,781","±103","30,136","±129","20,448","±130"
"    Production occupations","866,292","±6,663","69.6%","±0.4","30.4%","±0.4","27,328","±135","31,715","±172","20,819","±165"
"    Transportation occupations","523,210","±5,226","88.4%","±0.4","11.6%","±0.4","32,993","±434","34,300","±467","26,754","±598"
"    Material moving occupations","424,309","±4,662","77.4%","±0.5","22.6%","±0.5","20,216","±201","21,556","±219","16,297","±277"
"PERCENT IMPUTED","","","","","","","","","","","",""
"    Occupation","7.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
