"Label (Grouping)","Colorado!!Median earnings (dollars)!!Estimate","Colorado!!Median earnings (dollars)!!Margin of Error","Colorado!!Median earnings (dollars) for male!!Estimate","Colorado!!Median earnings (dollars) for male!!Margin of Error","Colorado!!Median earnings (dollars) for female!!Estimate","Colorado!!Median earnings (dollars) for female!!Margin of Error","Colorado!!Women's earnings as a percentage of men's earning!!Estimate","Colorado!!Women's earnings as a percentage of men's earning!!Margin of Error"
"Civilian employed population 16 years and over with earnings","40,058","±156","46,057","±349","33,344","±304","72.4%","±0.8"
"    Management, business, science, and arts occupations:","59,537","±417","73,333","±542","50,321","±316","68.6%","±0.6"
"        Management, business, and financial occupations:","66,009","±712","76,658","±882","56,347","±738","73.5%","±1.2"
"            Management occupations","69,534","±904","78,870","±1,119","58,293","±1,465","73.9%","±1.9"
"            Business and financial operations occupations","61,500","±656","71,827","±1,280","54,533","±576","75.9%","±1.6"
"        Computer, engineering, and science occupations:","78,913","±889","83,956","±674","64,627","±877","77.0%","±1.2"
"            Computer and mathematical occupations","83,145","±730","87,358","±1,485","70,967","±1,858","81.2%","±2.6"
"            Architecture and engineering occupations","81,657","±1,367","84,318","±1,132","69,626","±1,782","82.6%","±2.4"
"            Life, physical, and social science occupations","57,596","±2,120","64,026","±2,462","52,596","±2,100","82.1%","±4.4"
"        Education, legal, community service, arts, and media occupations:","41,265","±349","48,611","±736","37,738","±660","77.6%","±1.8"
"            Community and social service occupations","42,049","±587","43,367","±1,804","41,606","±684","95.9%","±4.3"
"            Legal occupations","78,183","±3,194","107,298","±9,187","64,427","±1,591","60.0%","±5.2"
"            Educational instruction, and library occupations","38,420","±673","45,867","±999","35,130","±880","76.6%","±2.4"
"            Arts, design, entertainment, sports, and media occupations","35,750","±1,060","42,261","±1,549","30,243","±1,142","71.6%","±3.9"
"        Healthcare practitioners and technical occupations:","58,350","±759","77,773","±2,657","54,359","±620","69.9%","±2.5"
"            Health diagnosing and treating practitioners and other technical occupations","66,244","±959","102,420","±4,765","62,285","±810","60.8%","±2.8"
"            Health technologists and technicians","39,005","±1,175","46,518","±2,864","37,118","±838","79.8%","±5.2"
"    Service occupations:","21,094","±171","25,080","±315","18,335","±358","73.1%","±1.8"
"        Healthcare support occupations","24,428","±553","25,926","±1,012","24,064","±598","92.8%","±4.3"
"        Protective service occupations:","47,190","±1,271","51,598","±1,427","37,334","±2,346","72.4%","±5.0"
"            Firefighting and prevention, and other protective service workers including supervisors","33,058","±2,032","38,247","±2,530","21,181","±1,637","55.4%","±5.7"
"            Law enforcement workers including supervisors","61,142","±1,803","63,822","±1,605","52,931","±3,267","82.9%","±5.6"
"        Food preparation and serving related occupations","16,311","±335","19,202","±649","14,253","±385","74.2%","±3.4"
"        Building and grounds cleaning and maintenance occupations","21,170","±376","25,244","±549","17,149","±511","67.9%","±2.7"
"        Personal care and service occupations","19,128","±812","21,307","±1,364","18,336","±986","86.1%","±7.5"
"    Sales and office occupations:","33,048","±405","40,939","±430","30,352","±240","74.1%","±1.0"
"        Sales and related occupations","34,110","±910","43,896","±1,178","25,097","±687","57.2%","±2.1"
"        Office and administrative support occupations","32,551","±350","36,139","±697","31,941","±242","88.4%","±1.8"
"    Natural resources, construction, and maintenance occupations:","39,253","±540","39,885","±489","26,309","±1,190","66.0%","±3.2"
"        Farming, fishing, and forestry occupations","24,176","±1,670","26,069","±910","17,136","±3,795","65.7%","±14.6"
"        Construction and extraction occupations","37,775","±779","38,195","±855","26,116","±1,596","68.4%","±4.8"
"        Installation, maintenance, and repair occupations","44,869","±975","45,156","±933","38,383","±2,993","85.0%","±6.9"
"    Production, transportation, and material moving occupations:","31,684","±258","34,828","±659","23,880","±692","68.6%","±2.4"
"        Production occupations","34,243","±763","38,684","±804","25,027","±632","64.7%","±2.0"
"        Transportation occupations","37,924","±984","40,100","±807","29,496","±1,995","73.6%","±5.1"
"        Material moving occupations","24,133","±805","25,759","±549","20,351","±683","79.0%","±3.0"
