"Label (Grouping)","Utah!!Median earnings (dollars)!!Estimate","Utah!!Median earnings (dollars)!!Margin of Error","Utah!!Median earnings (dollars) for male!!Estimate","Utah!!Median earnings (dollars) for male!!Margin of Error","Utah!!Median earnings (dollars) for female!!Estimate","Utah!!Median earnings (dollars) for female!!Margin of Error","Utah!!Women's earnings as a percentage of men's earning!!Estimate","Utah!!Women's earnings as a percentage of men's earning!!Margin of Error"
"Civilian employed population 16 years and over with earnings","33,389","±312","42,916","±448","25,224","±191","58.8%","±0.7"
"    Management, business, science, and arts occupations:","52,138","±357","68,044","±563","37,936","±605","55.8%","±0.9"
"        Management, business, and financial occupations:","61,146","±617","72,556","±908","45,710","±1,030","63.0%","±1.6"
"            Management occupations","64,870","±814","75,714","±1,159","48,950","±1,755","64.7%","±2.4"
"            Business and financial operations occupations","53,364","±811","64,591","±1,208","42,978","±1,262","66.5%","±2.2"
"        Computer, engineering, and science occupations:","67,864","±1,049","73,056","±1,012","46,909","±2,930","64.2%","±4.1"
"            Computer and mathematical occupations","69,498","±1,720","74,316","±1,604","47,590","±4,087","64.0%","±5.6"
"            Architecture and engineering occupations","72,627","±1,457","75,021","±1,611","50,108","±4,261","66.8%","±5.9"
"            Life, physical, and social science occupations","51,117","±2,340","54,607","±2,989","43,788","±4,428","80.2%","±9.0"
"        Education, legal, community service, arts, and media occupations:","34,548","±990","49,693","±1,429","26,072","±659","52.5%","±2.0"
"            Community and social service occupations","37,052","±1,038","46,307","±2,610","32,240","±1,431","69.6%","±5.3"
"            Legal occupations","70,263","±5,433","102,872","±8,336","47,569","±4,897","46.2%","±6.1"
"            Educational instruction, and library occupations","30,617","±1,027","45,905","±1,657","23,380","±1,605","50.9%","±3.8"
"            Arts, design, entertainment, sports, and media occupations","30,545","±1,052","42,279","±2,598","20,506","±1,352","48.5%","±4.4"
"        Healthcare practitioners and technical occupations:","50,038","±1,144","79,893","±3,481","41,496","±730","51.9%","±2.4"
"            Health diagnosing and treating practitioners and other technical occupations","62,147","±1,313","106,247","±3,923","51,649","±1,071","48.6%","±2.0"
"            Health technologists and technicians","30,596","±704","34,904","±4,810","29,201","±1,399","83.7%","±11.9"
"    Service occupations:","15,831","±288","20,467","±482","13,518","±358","66.0%","±2.4"
"        Healthcare support occupations","19,543","±789","19,471","±2,704","19,552","±845","100.4%","±15.5"
"        Protective service occupations:","40,851","±927","45,575","±1,918","20,698","±7,183","45.4%","±15.7"
"            Firefighting and prevention, and other protective service workers including supervisors","26,202","±2,501","34,897","±6,054","9,161","±2,530","26.3%","±7.9"
"            Law enforcement workers including supervisors","50,071","±1,413","51,201","±1,579","41,667","±3,711","81.4%","±7.8"
"        Food preparation and serving related occupations","11,707","±387","12,736","±802","10,936","±485","85.9%","±6.2"
"        Building and grounds cleaning and maintenance occupations","17,510","±763","21,800","±859","12,474","±648","57.2%","±3.8"
"        Personal care and service occupations","12,902","±569","15,820","±1,659","12,400","±537","78.4%","±9.1"
"    Sales and office occupations:","27,927","±451","37,150","±725","24,374","±455","65.6%","±1.8"
"        Sales and related occupations","30,460","±416","43,639","±1,633","18,587","±801","42.6%","±2.3"
"        Office and administrative support occupations","27,010","±278","30,451","±622","26,298","±335","86.4%","±2.1"
"    Natural resources, construction, and maintenance occupations:","39,241","±912","40,005","±626","24,139","±2,634","60.3%","±6.7"
"        Farming, fishing, and forestry occupations","22,126","±997","22,308","±1,161","21,276","±2,763","95.4%","±13.9"
"        Construction and extraction occupations","37,330","±842","37,604","±1,217","23,051","±7,459","61.3%","±19.5"
"        Installation, maintenance, and repair occupations","44,072","±2,038","44,889","±1,880","31,105","±5,617","69.3%","±12.5"
"    Production, transportation, and material moving occupations:","30,519","±279","33,855","±752","22,049","±540","65.1%","±2.2"
"        Production occupations","31,878","±370","36,992","±739","23,742","±923","64.2%","±2.9"
"        Transportation occupations","40,470","±808","42,469","±891","26,485","±1,436","62.4%","±3.4"
"        Material moving occupations","21,522","±729","23,708","±1,063","16,829","±864","71.0%","±4.2"
