"Label (Grouping)","California!!Median earnings (dollars)!!Estimate","California!!Median earnings (dollars)!!Margin of Error","California!!Median earnings (dollars) for male!!Estimate","California!!Median earnings (dollars) for male!!Margin of Error","California!!Median earnings (dollars) for female!!Estimate","California!!Median earnings (dollars) for female!!Margin of Error","California!!Women's earnings as a percentage of men's earning!!Estimate","California!!Women's earnings as a percentage of men's earning!!Margin of Error"
"Civilian employed population 16 years and over with earnings","41,464","±97","47,210","±225","35,568","±131","75.3%","±0.4"
"    Management, business, science, and arts occupations:","72,917","±244","85,895","±323","62,006","±190","72.2%","±0.3"
"        Management, business, and financial occupations:","78,758","±502","90,416","±574","68,031","±560","75.2%","±0.8"
"            Management occupations","83,995","±699","95,749","±802","71,749","±603","74.9%","±0.8"
"            Business and financial operations occupations","71,157","±362","80,851","±561","64,351","±501","79.6%","±0.9"
"        Computer, engineering, and science occupations:","96,638","±566","102,013","±419","81,604","±625","80.0%","±0.7"
"            Computer and mathematical occupations","101,767","±493","106,125","±684","87,251","±1,286","82.2%","±1.3"
"            Architecture and engineering occupations","98,754","±1,009","101,305","±528","84,655","±1,315","83.6%","±1.4"
"            Life, physical, and social science occupations","74,598","±1,180","81,030","±1,426","69,327","±2,468","85.6%","±3.4"
"        Education, legal, community service, arts, and media occupations:","50,732","±258","59,662","±752","45,433","±447","76.2%","±1.3"
"            Community and social service occupations","48,279","±730","49,235","±1,234","47,825","±878","97.1%","±2.9"
"            Legal occupations","100,862","±1,153","133,370","±4,879","81,272","±1,086","60.9%","±2.3"
"            Educational instruction, and library occupations","43,367","±603","53,824","±923","39,341","±656","73.1%","±1.8"
"            Arts, design, entertainment, sports, and media occupations","50,732","±467","55,102","±1,149","43,119","±1,153","78.3%","±2.7"
"        Healthcare practitioners and technical occupations:","75,342","±504","86,545","±1,053","71,258","±600","82.3%","±1.2"
"            Health diagnosing and treating practitioners and other technical occupations","93,563","±693","112,451","±2,368","87,249","±410","77.6%","±1.6"
"            Health technologists and technicians","45,410","±521","50,859","±776","43,226","±557","85.0%","±1.7"
"    Service occupations:","22,710","±127","26,908","±148","20,101","±107","74.7%","±0.6"
"        Healthcare support occupations","24,111","±315","25,176","±647","23,868","±331","94.8%","±2.7"
"        Protective service occupations:","54,375","±1,032","61,212","±1,131","40,434","±1,158","66.1%","±2.3"
"            Firefighting and prevention, and other protective service workers including supervisors","32,923","±672","35,199","±671","26,773","±747","76.1%","±2.6"
"            Law enforcement workers including supervisors","90,881","±859","94,170","±1,535","77,242","±2,133","82.0%","±2.6"
"        Food preparation and serving related occupations","19,560","±191","21,718","±192","16,814","±154","77.4%","±1.0"
"        Building and grounds cleaning and maintenance occupations","23,975","±210","27,676","±440","18,503","±285","66.9%","±1.5"
"        Personal care and service occupations","19,186","±340","22,445","±630","17,857","±411","79.6%","±2.9"
"    Sales and office occupations:","34,631","±151","40,576","±219","31,755","±112","78.3%","±0.5"
"        Sales and related occupations","32,041","±173","43,105","±488","23,978","±300","55.6%","±1.0"
"        Office and administrative support occupations","36,104","±154","37,123","±350","35,744","±184","96.3%","±1.1"
"    Natural resources, construction, and maintenance occupations:","37,433","±261","39,399","±285","19,416","±497","49.3%","±1.3"
"        Farming, fishing, and forestry occupations","21,491","±230","24,552","±436","16,244","±306","66.2%","±1.5"
"        Construction and extraction occupations","40,228","±230","40,265","±238","37,991","±2,636","94.4%","±6.6"
"        Installation, maintenance, and repair occupations","46,313","±503","46,480","±506","42,045","±2,029","90.5%","±4.2"
"    Production, transportation, and material moving occupations:","31,161","±92","34,061","±212","24,060","±221","70.6%","±0.8"
"        Production occupations","33,510","±304","38,118","±408","25,891","±244","67.9%","±0.9"
"        Transportation occupations","37,830","±437","39,979","±386","27,579","±1,057","69.0%","±2.7"
"        Material moving occupations","24,267","±218","26,026","±194","20,515","±286","78.8%","±1.3"
