"Label (Grouping)","Colorado!!Total!!Estimate","Colorado!!Total!!Margin of Error","Colorado!!Male!!Estimate","Colorado!!Male!!Margin of Error","Colorado!!Female!!Estimate","Colorado!!Female!!Margin of Error","Colorado!!Median earnings (dollars)!!Estimate","Colorado!!Median earnings (dollars)!!Margin of Error","Colorado!!Median earnings (dollars) for male!!Estimate","Colorado!!Median earnings (dollars) for male!!Margin of Error","Colorado!!Median earnings (dollars) for female!!Estimate","Colorado!!Median earnings (dollars) for female!!Margin of Error"
"Civilian employed population 16 years and over","2,509,777","±6,524","53.3%","±0.1","46.7%","±0.1","35,763","±157","42,226","±222","30,205","±155"
"Management, business, science, and arts occupations:","1,001,363","±7,921","50.5%","±0.2","49.5%","±0.2","54,292","±238","67,479","±564","45,601","±378"
"    Management, business, and financial occupations:","426,427","±4,394","56.4%","±0.5","43.6%","±0.5","60,529","±480","70,156","±718","51,985","±518"
"        Management occupations","288,500","±3,915","62.1%","±0.6","37.9%","±0.6","64,003","±693","72,298","±1,039","53,512","±642"
"        Business and financial operations occupations","137,927","±2,427","44.4%","±0.9","55.6%","±0.9","54,594","±475","63,695","±1,115","50,269","±704"
"    Computer, engineering, and science occupations:","183,707","±3,448","74.7%","±0.7","25.3%","±0.7","73,930","±735","78,747","±1,345","60,891","±1,555"
"        Computer and mathematical occupations","94,067","±2,380","74.8%","±0.9","25.2%","±0.9","76,838","±949","80,391","±1,068","69,248","±1,987"
"        Architecture and engineering occupations","62,096","±1,868","82.7%","±1.0","17.3%","±1.0","76,888","±1,141","81,229","±1,155","61,544","±2,794"
"        Life, physical, and social science occupations","27,544","±1,196","56.4%","±1.9","43.6%","±1.9","53,968","±1,904","63,918","±2,681","46,537","±2,023"
"    Education, legal, community service, arts, and media occupations:","267,647","±3,593","35.7%","±0.7","64.3%","±0.7","37,674","±499","45,937","±936","33,622","±655"
"        Community and social services occupations","39,374","±1,470","36.3%","±1.7","63.7%","±1.7","37,744","±933","42,002","±1,041","35,636","±845"
"        Legal occupations","29,522","±1,388","46.1%","±2.2","53.9%","±2.2","68,618","±3,877","106,796","±4,749","51,731","±1,415"
"        Education, training, and library occupations","142,950","±2,560","27.7%","±0.8","72.3%","±0.8","34,947","±748","43,592","±1,064","31,412","±824"
"        Arts, design, entertainment, sports, and media occupations","55,801","±1,595","50.1%","±1.4","49.9%","±1.4","33,850","±1,148","39,910","±1,618","27,272","±1,865"
"    Healthcare practitioner and technical occupations:","123,582","±2,569","26.3%","±0.9","73.7%","±0.9","54,911","±697","75,261","±2,452","51,381","±648"
"        Health diagnosing and treating practitioners and other technical occupations","90,925","±2,283","27.2%","±1.0","72.8%","±1.0","62,622","±812","93,973","±6,216","57,091","±969"
"        Health technologists and technicians","32,657","±1,380","23.9%","±1.7","76.1%","±1.7","37,498","±1,039","44,578","±2,940","35,669","±1,197"
"Service occupations:","433,344","±4,594","44.0%","±0.5","56.0%","±0.5","17,729","±319","21,817","±319","15,268","±249"
"    Healthcare support occupations","51,876","±1,594","13.5%","±1.0","86.5%","±1.0","23,983","±555","26,107","±995","23,653","±574"
"    Protective service occupations:","52,648","±1,567","79.0%","±1.2","21.0%","±1.2","45,745","±1,249","49,272","±1,884","36,701","±1,850"
"        Fire fighting and prevention, and other protective service workers including supervisors","28,970","±1,245","77.3%","±1.6","22.7%","±1.6","31,942","±1,420","34,091","±1,653","23,797","±3,538"
"        Law enforcement workers including supervisors","23,678","±926","81.0%","±1.5","19.0%","±1.5","57,515","±1,481","59,482","±1,694","50,861","±1,896"
"    Food preparation and serving related occupations","149,405","±3,212","46.9%","±1.0","53.1%","±1.0","13,939","±321","15,914","±432","12,460","±287"
"    Building and grounds cleaning and maintenance occupations","91,281","±2,424","56.7%","±1.1","43.3%","±1.1","17,352","±515","21,179","±633","13,845","±511"
"    Personal care and service occupations","88,134","±2,035","23.3%","±1.1","76.7%","±1.1","15,172","±515","20,449","±862","13,962","±476"
"Sales and office occupations:","612,922","±5,934","39.2%","±0.4","60.8%","±0.4","30,437","±213","36,948","±537","26,930","±241"
"    Sales and related occupations","282,881","±4,347","52.7%","±0.6","47.3%","±0.6","30,980","±444","41,451","±714","21,464","±528"
"    Office and administrative support occupations","330,041","±4,353","27.7%","±0.6","72.3%","±0.6","30,142","±205","31,628","±492","29,501","±439"
"Natural resources, construction, and maintenance occupations:","236,868","±3,743","95.5%","±0.3","4.5%","±0.3","35,649","±520","36,116","±508","26,207","±2,522"
"    Farming, fishing, and forestry occupations","13,769","±1,275","79.5%","±2.2","20.5%","±2.2","21,284","±1,072","23,572","±1,436","13,199","±2,221"
"    Construction and extraction occupations","145,278","±3,015","97.0%","±0.3","3.0%","±0.3","33,690","±738","33,846","±741","29,577","±5,767"
"    Installation, maintenance, and repair occupations","77,821","±2,062","95.4%","±0.6","4.6%","±0.6","41,988","±619","42,128","±629","35,304","±7,265"
"Production, transportation, and material moving occupations:","225,280","±3,116","78.1%","±0.6","21.9%","±0.6","30,399","±309","32,219","±351","22,860","±901"
"    Production occupations","95,998","±2,282","71.7%","±0.9","28.3%","±0.9","31,758","±464","35,743","±672","23,077","±1,194"
"    Transportation occupations","82,524","±1,944","84.0%","±1.0","16.0%","±1.0","32,998","±837","35,171","±957","25,801","±1,171"
"    Material moving occupations","46,758","±1,755","81.0%","±1.5","19.0%","±1.5","21,509","±500","22,101","±614","18,521","±2,110"
"PERCENT IMPUTED","","","","","","","","","","","",""
"    Occupation","7.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
