"Label (Grouping)","California!!Median earnings (dollars)!!Estimate","California!!Median earnings (dollars)!!Margin of Error","California!!Median earnings (dollars) for male!!Estimate","California!!Median earnings (dollars) for male!!Margin of Error","California!!Median earnings (dollars) for female!!Estimate","California!!Median earnings (dollars) for female!!Margin of Error","California!!Women's earnings as a percentage of men's earning!!Estimate","California!!Women's earnings as a percentage of men's earning!!Margin of Error"
"Civilian employed population 16 years and over with earnings","39,999","±111","44,950","±182","33,400","±180","74.3%","±0.4"
"    Management, business, science, and arts occupations:","71,139","±203","84,204","±367","60,499","±219","71.8%","±0.4"
"        Management, business, and financial occupations:","76,640","±303","87,482","±764","65,368","±506","74.7%","±0.8"
"            Management occupations","82,031","±390","93,203","±847","69,425","±643","74.5%","±0.9"
"            Business and financial operations occupations","69,159","±561","79,573","±1,040","62,713","±350","78.8%","±1.0"
"        Computer, engineering, and science occupations:","93,844","±574","100,397","±479","79,378","±995","79.1%","±1.1"
"            Computer and mathematical occupations","99,702","±1,055","104,568","±755","85,120","±940","81.4%","±1.2"
"            Architecture and engineering occupations","95,854","±651","99,461","±1,433","82,361","±1,401","82.8%","±1.9"
"            Life, physical, and social science occupations","71,546","±907","77,212","±1,598","65,407","±1,905","84.7%","±3.0"
"        Education, legal, community service, arts, and media occupations:","49,881","±323","58,266","±651","44,200","±346","75.9%","±1.0"
"            Community and social service occupations","46,955","±546","48,074","±1,053","46,473","±622","96.7%","±2.5"
"            Legal occupations","100,967","±1,158","129,740","±3,135","80,291","±1,517","61.9%","±1.8"
"            Educational instruction, and library occupations","43,033","±512","53,608","±723","38,736","±554","72.3%","±1.4"
"            Arts, design, entertainment, sports, and media occupations","48,568","±823","53,639","±678","41,083","±728","76.6%","±1.5"
"        Healthcare practitioners and technical occupations:","74,013","±665","85,529","±730","70,036","±696","81.9%","±1.0"
"            Health diagnosing and treating practitioners and other technical occupations","91,465","±486","111,511","±1,752","85,654","±414","76.8%","±1.2"
"            Health technologists and technicians","43,976","±462","48,652","±1,026","42,226","±450","86.8%","±2.1"
"    Service occupations:","21,865","±83","26,027","±120","19,057","±133","73.2%","±0.6"
"        Healthcare support occupations","22,708","±273","24,387","±635","22,415","±196","91.9%","±2.4"
"        Protective service occupations:","52,847","±900","58,367","±1,955","39,518","±1,336","67.7%","±2.9"
"            Firefighting and prevention, and other protective service workers including supervisors","31,355","±296","32,347","±464","25,648","±680","79.3%","±2.5"
"            Law enforcement workers including supervisors","89,328","±1,359","92,862","±1,163","75,299","±2,007","81.1%","±2.2"
"        Food preparation and serving related occupations","18,652","±213","21,082","±176","16,335","±175","77.5%","±1.0"
"        Building and grounds cleaning and maintenance occupations","22,664","±181","26,580","±184","17,591","±238","66.2%","±1.0"
"        Personal care and service occupations","18,591","±297","22,129","±500","17,348","±207","78.4%","±2.0"
"    Sales and office occupations:","33,014","±200","39,647","±304","30,841","±103","77.8%","±0.7"
"        Sales and related occupations","31,120","±146","42,304","±371","22,671","±261","53.6%","±0.8"
"        Office and administrative support occupations","35,203","±155","36,219","±330","34,788","±265","96.0%","±1.2"
"    Natural resources, construction, and maintenance occupations:","35,577","±231","37,292","±234","18,086","±400","48.5%","±1.2"
"        Farming, fishing, and forestry occupations","20,580","±219","22,995","±379","15,479","±269","67.3%","±1.6"
"        Construction and extraction occupations","38,251","±343","38,299","±349","35,598","±3,556","92.9%","±9.3"
"        Installation, maintenance, and repair occupations","44,520","±379","44,588","±368","41,733","±1,692","93.6%","±3.7"
"    Production, transportation, and material moving occupations:","30,331","±94","32,258","±98","22,875","±252","70.9%","±0.8"
"        Production occupations","31,805","±131","36,896","±302","24,850","±300","67.4%","±0.9"
"        Transportation occupations","36,958","±319","38,590","±400","27,639","±1,067","71.6%","±2.9"
"        Material moving occupations","23,074","±225","25,210","±202","19,659","±315","78.0%","±1.4"
