"Label (Grouping)","Utah!!Median earnings (dollars)!!Estimate","Utah!!Median earnings (dollars)!!Margin of Error","Utah!!Median earnings (dollars) for male!!Estimate","Utah!!Median earnings (dollars) for male!!Margin of Error","Utah!!Median earnings (dollars) for female!!Estimate","Utah!!Median earnings (dollars) for female!!Margin of Error","Utah!!Women's earnings as a percentage of men's earning!!Estimate","Utah!!Women's earnings as a percentage of men's earning!!Margin of Error"
"Civilian employed population 16 years and over with earnings","39,059","±234","50,088","±451","29,430","±329","58.8%","±0.8"
"    Management, business, science, and arts occupations:","58,401","±538","75,759","±847","43,533","±404","57.5%","±0.7"
"        Management, business, and financial occupations:","66,589","±746","79,091","±1,207","51,444","±818","65.0%","±1.5"
"            Management occupations","71,842","±1,271","84,149","±1,140","52,686","±1,361","62.6%","±1.8"
"            Business and financial operations occupations","58,627","±1,176","69,245","±1,783","49,969","±1,685","72.2%","±3.3"
"        Computer, engineering, and science occupations:","76,184","±1,187","81,167","±1,443","57,135","±2,745","70.4%","±3.8"
"            Computer and mathematical occupations","79,127","±1,444","83,941","±1,304","58,209","±3,843","69.3%","±4.8"
"            Architecture and engineering occupations","78,917","±1,319","82,627","±2,018","59,429","±5,690","71.9%","±7.1"
"            Life, physical, and social science occupations","55,508","±2,858","57,291","±5,321","52,347","±4,690","91.4%","±11.6"
"        Education, legal, community service, arts, and media occupations:","38,513","±874","53,205","±972","30,854","±979","58.0%","±2.1"
"            Community and social service occupations","41,762","±1,370","47,697","±5,730","39,323","±1,623","82.4%","±10.6"
"            Legal occupations","76,525","±5,904","119,103","±11,014","52,587","±7,213","44.2%","±7.2"
"            Educational instruction, and library occupations","34,946","±1,299","51,540","±1,380","27,616","±1,495","53.6%","±3.2"
"            Arts, design, entertainment, sports, and media occupations","31,610","±2,161","46,035","±2,870","21,280","±1,555","46.2%","±4.2"
"        Healthcare practitioners and technical occupations:","56,207","±1,722","93,847","±3,750","47,423","±1,638","50.5%","±2.5"
"            Health diagnosing and treating practitioners and other technical occupations","69,696","±2,330","119,972","±8,471","57,201","±2,143","47.7%","±3.8"
"            Health technologists and technicians","34,987","±1,592","40,862","±1,010","32,426","±1,442","79.4%","±3.9"
"    Service occupations:","18,463","±647","25,108","±855","15,449","±525","61.5%","±3.0"
"        Healthcare support occupations","22,943","±932","24,591","±1,661","22,372","±809","91.0%","±6.8"
"        Protective service occupations:","46,397","±2,595","53,308","±1,190","21,166","±3,946","39.7%","±7.4"
"            Firefighting and prevention, and other protective service workers including supervisors","32,105","±1,910","41,451","±2,338","13,157","±2,984","31.7%","±7.4"
"            Law enforcement workers including supervisors","59,478","±2,232","61,066","±2,231","42,025","±7,482","68.8%","±12.2"
"        Food preparation and serving related occupations","13,100","±570","14,218","±1,089","12,520","±606","88.1%","±7.4"
"        Building and grounds cleaning and maintenance occupations","20,719","±938","25,842","±723","14,740","±1,192","57.0%","±4.6"
"        Personal care and service occupations","14,685","±982","19,160","±2,560","14,058","±923","73.4%","±9.8"
"    Sales and office occupations:","32,208","±297","41,395","±752","28,220","±538","68.2%","±1.8"
"        Sales and related occupations","34,639","±945","50,060","±1,887","21,912","±746","43.8%","±2.0"
"        Office and administrative support occupations","31,211","±338","34,019","±954","30,392","±365","89.3%","±2.6"
"    Natural resources, construction, and maintenance occupations:","44,022","±484","44,531","±513","30,479","±3,014","68.4%","±6.7"
"        Farming, fishing, and forestry occupations","27,691","±3,043","29,514","±3,634","22,766","±5,417","77.1%","±19.7"
"        Construction and extraction occupations","42,727","±728","42,907","±711","31,000","±4,034","72.2%","±9.4"
"        Installation, maintenance, and repair occupations","50,916","±1,078","51,531","±1,037","36,194","±1,848","70.2%","±3.8"
"    Production, transportation, and material moving occupations:","33,121","±460","37,712","±634","25,576","±409","67.8%","±1.7"
"        Production occupations","35,869","±742","41,602","±647","27,103","±751","65.1%","±2.1"
"        Transportation occupations","42,029","±1,337","44,692","±1,438","28,029","±2,690","62.7%","±6.2"
"        Material moving occupations","25,279","±510","26,407","±524","20,632","±934","78.1%","±3.8"
