"Label (Grouping)","Colorado!!Median earnings (dollars)!!Estimate","Colorado!!Median earnings (dollars)!!Margin of Error","Colorado!!Median earnings (dollars) for male!!Estimate","Colorado!!Median earnings (dollars) for male!!Margin of Error","Colorado!!Median earnings (dollars) for female!!Estimate","Colorado!!Median earnings (dollars) for female!!Margin of Error","Colorado!!Women's earnings as a percentage of men's earning!!Estimate","Colorado!!Women's earnings as a percentage of men's earning!!Margin of Error"
"Civilian employed population 16 years and over with earnings","42,322","±160","49,730","±397","36,146","±209","72.7%","±0.7"
"    Management, business, science, and arts occupations:","62,634","±409","76,474","±580","52,795","±362","69.0%","±0.6"
"        Management, business, and financial occupations:","70,716","±519","80,795","±844","61,228","±646","75.8%","±1.1"
"            Management occupations","73,734","±1,013","83,002","±1,284","63,157","±1,176","76.1%","±1.8"
"            Business and financial operations occupations","65,499","±963","75,574","±1,368","58,927","±1,215","78.0%","±2.0"
"        Computer, engineering, and science occupations:","81,693","±620","86,940","±799","67,291","±1,631","77.4%","±2.1"
"            Computer and mathematical occupations","86,169","±953","90,834","±1,293","73,573","±2,504","81.0%","±2.8"
"            Architecture and engineering occupations","84,323","±1,711","87,455","±2,004","72,484","±2,379","82.9%","±3.5"
"            Life, physical, and social science occupations","59,384","±1,866","64,026","±2,680","54,095","±3,040","84.5%","±5.1"
"        Education, legal, community service, arts, and media occupations:","42,579","±540","49,699","±1,175","39,861","±655","80.2%","±2.4"
"            Community and social service occupations","42,435","±883","44,090","±2,593","41,896","±885","95.0%","±5.9"
"            Legal occupations","82,685","±3,138","113,500","±10,708","67,531","±3,199","59.5%","±6.7"
"            Educational instruction, and library occupations","39,946","±602","45,867","±1,031","36,986","±716","80.6%","±2.5"
"            Arts, design, entertainment, sports, and media occupations","39,053","±1,609","44,223","±2,205","33,754","±2,063","76.3%","±5.9"
"        Healthcare practitioners and technical occupations:","61,188","±738","80,942","±2,829","57,481","±1,263","71.0%","±2.8"
"            Health diagnosing and treating practitioners and other technical occupations","69,796","±1,172","105,423","±6,095","65,059","±1,050","61.7%","±3.6"
"            Health technologists and technicians","40,706","±1,220","47,496","±2,886","38,876","±1,709","81.9%","±5.9"
"    Service occupations:","22,278","±236","26,450","±430","20,214","±225","76.4%","±1.5"
"        Healthcare support occupations","25,781","±503","27,348","±1,682","25,529","±547","93.3%","±6.1"
"        Protective service occupations:","49,913","±1,449","53,895","±2,183","39,108","±2,235","72.6%","±4.9"
"            Firefighting and prevention, and other protective service workers including supervisors","36,371","±1,377","40,936","±2,154","21,822","±2,899","53.3%","±7.1"
"            Law enforcement workers including supervisors","64,073","±2,193","67,153","±2,511","55,029","±3,430","81.9%","±5.5"
"        Food preparation and serving related occupations","17,235","±428","20,286","±715","15,364","±527","75.7%","±3.8"
"        Building and grounds cleaning and maintenance occupations","22,576","±640","26,672","±710","18,076","±996","67.8%","±4.1"
"        Personal care and service occupations","20,644","±464","22,383","±1,664","20,265","±582","90.5%","±7.7"
"    Sales and office occupations:","35,547","±286","42,571","±675","31,960","±296","75.1%","±1.5"
"        Sales and related occupations","37,440","±698","47,753","±1,240","27,568","±951","57.7%","±2.4"
"        Office and administrative support occupations","34,462","±378","37,258","±882","33,609","±400","90.2%","±2.3"
"    Natural resources, construction, and maintenance occupations:","42,062","±368","42,636","±467","26,030","±1,756","61.1%","±4.2"
"        Farming, fishing, and forestry occupations","25,632","±805","27,332","±1,478","15,571","±1,908","57.0%","±7.5"
"        Construction and extraction occupations","41,573","±450","41,974","±453","25,095","±3,390","59.8%","±8.2"
"        Installation, maintenance, and repair occupations","48,143","±1,100","48,326","±1,112","45,015","±7,856","93.1%","±16.5"
"    Production, transportation, and material moving occupations:","32,946","±579","36,395","±586","25,138","±674","69.1%","±2.0"
"        Production occupations","36,482","±664","40,794","±726","27,067","±919","66.4%","±2.5"
"        Transportation occupations","39,855","±1,018","41,726","±813","27,702","±2,495","66.4%","±5.8"
"        Material moving occupations","24,352","±796","25,833","±626","20,469","±1,067","79.2%","±4.5"
