"Label (Grouping)","California!!Median earnings (dollars)!!Estimate","California!!Median earnings (dollars)!!Margin of Error","California!!Median earnings (dollars) for male!!Estimate","California!!Median earnings (dollars) for male!!Margin of Error","California!!Median earnings (dollars) for female!!Estimate","California!!Median earnings (dollars) for female!!Margin of Error","California!!Women's earnings as a percentage of men's earning!!Estimate","California!!Women's earnings as a percentage of men's earning!!Margin of Error"
"Civilian employed population 16 years and over with earnings","36,397","±81","41,336","±97","31,286","±75","75.7%","±0.2"
"    Management, business, science, and arts occupations:","65,679","±199","78,856","±319","55,798","±236","70.8%","±0.4"
"        Management, business, and financial occupations:","71,710","±308","82,631","±371","61,408","±224","74.3%","±0.4"
"            Management occupations","77,375","±444","86,894","±736","64,935","±530","74.7%","±0.8"
"            Business and financial operations occupations","62,291","±289","72,250","±646","56,954","±462","78.8%","±0.9"
"        Computer, engineering, and science occupations:","87,259","±494","93,264","±405","72,973","±597","78.2%","±0.7"
"            Computer and mathematical occupations","92,351","±531","97,103","±851","79,093","±1,238","81.5%","±1.6"
"            Architecture and engineering occupations","90,747","±704","93,809","±632","76,062","±2,018","81.1%","±2.3"
"            Life, physical, and social science occupations","64,482","±1,087","69,337","±2,174","61,316","±717","88.4%","±2.8"
"        Education, legal, community service, arts, and media occupations:","46,660","±306","54,341","±468","41,327","±248","76.1%","±0.8"
"            Community and social services occupations","44,096","±626","45,476","±990","43,447","±644","95.5%","±2.2"
"            Legal occupations","93,230","±1,746","121,245","±3,036","74,396","±1,367","61.4%","±1.8"
"            Education, training, and library occupations","40,980","±354","51,260","±500","36,292","±460","70.8%","±1.1"
"            Arts, design, entertainment, sports, and media occupations","44,478","±924","51,065","±441","36,988","±597","72.4%","±1.4"
"        Healthcare practitioner and technical occupations:","70,122","±553","81,853","±1,029","64,991","±637","79.4%","±1.3"
"            Health diagnosing and treating practitioners and other technical occupations","85,390","±713","104,600","±622","80,854","±569","77.3%","±0.7"
"            Health technologists and technicians","41,352","±304","45,109","±1,043","40,323","±350","89.4%","±2.2"
"    Service occupations:","20,042","±69","23,291","±146","16,934","±89","72.7%","±0.6"
"        Healthcare support occupations","26,193","±236","28,133","±1,062","25,874","±247","92.0%","±3.5"
"        Protective service occupations:","51,096","±740","55,049","±1,623","38,718","±2,039","70.3%","±4.1"
"            Fire fighting and prevention, and other protective service workers including supervisors","28,998","±692","30,241","±559","23,937","±884","79.2%","±3.3"
"            Law enforcement workers including supervisors","84,675","±633","88,805","±1,096","69,775","±2,587","78.6%","±3.2"
"        Food preparation and serving related occupations","16,744","±114","19,141","±202","14,681","±139","76.7%","±1.1"
"        Building and grounds cleaning and maintenance occupations","20,569","±114","23,897","±201","15,926","±156","66.6%","±0.9"
"        Personal care and service occupations","15,928","±162","18,648","±411","15,289","±173","82.0%","±1.9"
"    Sales and office occupations:","30,952","±77","35,405","±168","28,447","±201","80.3%","±0.7"
"        Sales and related occupations","28,912","±323","40,072","±368","20,919","±199","52.2%","±0.7"
"        Office and administrative support occupations","31,798","±98","31,452","±186","31,945","±110","101.6%","±0.7"
"    Natural resources, construction, and maintenance occupations:","31,703","±124","33,015","±357","16,301","±276","49.4%","±1.0"
"        Farming, fishing, and forestry occupations","18,309","±243","20,848","±232","13,578","±285","65.1%","±1.5"
"        Construction and extraction occupations","34,156","±470","34,305","±466","30,443","±1,085","88.7%","±3.4"
"        Installation, maintenance, and repair occupations","41,343","±297","41,347","±301","41,211","±1,856","99.7%","±4.6"
"    Production, transportation, and material moving occupations:","28,475","±185","31,255","±119","21,348","±135","68.3%","±0.5"
"        Production occupations","29,842","±280","33,698","±431","22,070","±162","65.5%","±0.9"
"        Transportation occupations","35,020","±304","35,985","±222","26,968","±565","74.9%","±1.7"
"        Material moving occupations","21,448","±163","23,046","±260","17,313","±304","75.1%","±1.5"
