"Label (Grouping)","California!!Total!!Estimate","California!!Total!!Margin of Error","California!!Male!!Estimate","California!!Male!!Margin of Error","California!!Female!!Estimate","California!!Female!!Margin of Error","California!!Median earnings (dollars)!!Estimate","California!!Median earnings (dollars)!!Margin of Error","California!!Median earnings (dollars) for male!!Estimate","California!!Median earnings (dollars) for male!!Margin of Error","California!!Median earnings (dollars) for female!!Estimate","California!!Median earnings (dollars) for female!!Margin of Error"
"Civilian employed population 16 years and over","16,603,417","±15,328","54.1%","±0.1","45.9%","±0.1","35,244","±102","40,424","±135","30,341","±79"
"Management, business, science, and arts occupations:","6,066,379","±26,674","50.5%","±0.1","49.5%","±0.1","61,885","±144","73,797","±268","51,759","±141"
"    Management, business, and financial occupations:","2,490,360","±11,043","55.0%","±0.2","45.0%","±0.2","66,038","±260","77,991","±479","55,758","±316"
"        Management occupations","1,668,368","±8,710","60.6%","±0.3","39.4%","±0.3","72,595","±364","82,537","±458","60,166","±434"
"        Business and financial operations occupations","821,992","±6,763","43.8%","±0.4","56.2%","±0.4","57,492","±408","66,995","±658","52,115","±258"
"    Computer, engineering, and science occupations:","1,002,029","±8,527","74.1%","±0.3","25.9%","±0.3","78,622","±398","83,312","±330","66,244","±666"
"        Computer and mathematical occupations","465,966","±5,412","74.9%","±0.5","25.1%","±0.5","81,274","±645","84,464","±502","71,481","±1,093"
"        Architecture and engineering occupations","365,647","±4,711","83.6%","±0.5","16.4%","±0.5","82,737","±424","84,721","±452","69,578","±1,305"
"        Life, physical, and social science occupations","170,416","±2,763","51.5%","±0.8","48.5%","±0.8","61,798","±879","67,468","±2,240","55,595","±1,200"
"    Education, legal, community service, arts, and media occupations:","1,820,310","±12,641","39.5%","±0.2","60.5%","±0.2","44,963","±249","54,078","±454","40,132","±261"
"        Community and social services occupations","247,059","±4,311","37.1%","±0.7","62.9%","±0.7","42,279","±355","44,042","±873","41,646","±426"
"        Legal occupations","211,564","±3,278","50.2%","±0.7","49.8%","±0.7","84,576","±1,309","113,940","±2,886","66,017","±1,355"
"        Education, training, and library occupations","926,391","±9,217","29.1%","±0.3","70.9%","±0.3","40,992","±363","52,439","±666","35,870","±521"
"        Arts, design, entertainment, sports, and media occupations","435,296","±5,520","58.0%","±0.5","42.0%","±0.5","42,292","±463","48,940","±1,334","35,565","±724"
"    Healthcare practitioner and technical occupations:","753,680","±6,961","30.9%","±0.4","69.1%","±0.4","65,431","±449","80,342","±1,254","61,551","±448"
"        Health diagnosing and treating practitioners and other technical occupations","534,940","±5,513","31.4%","±0.5","68.6%","±0.5","79,547","±552","102,830","±838","73,268","±536"
"        Health technologists and technicians","218,740","±3,552","29.9%","±0.6","70.1%","±0.6","40,319","±365","43,112","±1,173","39,105","±562"
"Service occupations:","2,970,721","±17,642","46.5%","±0.2","53.5%","±0.2","18,828","±94","22,620","±197","15,878","±106"
"    Healthcare support occupations","320,510","±4,067","16.5%","±0.5","83.5%","±0.5","24,788","±301","26,308","±631","24,454","±315"
"    Protective service occupations:","363,498","±4,372","80.1%","±0.5","19.9%","±0.5","54,109","±837","59,852","±1,219","41,473","±1,137"
"        Fire fighting and prevention, and other protective service workers including supervisors","211,829","±3,499","80.2%","±0.6","19.8%","±0.6","30,562","±534","32,043","±569","24,373","±1,105"
"        Law enforcement workers including supervisors","151,669","±2,687","80.0%","±0.8","20.0%","±0.8","79,948","±933","83,246","±748","65,637","±1,418"
"    Food preparation and serving related occupations","866,029","±9,528","50.7%","±0.4","49.3%","±0.4","15,491","±100","17,518","±176","13,564","±145"
"    Building and grounds cleaning and maintenance occupations","727,567","±7,629","60.9%","±0.4","39.1%","±0.4","18,619","±156","22,150","±221","14,555","±159"
"    Personal care and service occupations","693,117","±7,200","22.5%","±0.4","77.5%","±0.4","15,170","±192","19,487","±547","14,320","±167"
"Sales and office occupations:","4,151,286","±13,689","39.9%","±0.1","60.1%","±0.1","30,698","±98","35,655","±216","27,767","±179"
"    Sales and related occupations","1,888,328","±10,468","52.0%","±0.2","48.0%","±0.2","29,085","±327","39,765","±376","20,593","±198"
"    Office and administrative support occupations","2,262,958","±10,405","29.8%","±0.2","70.2%","±0.2","31,352","±113","31,689","±265","31,238","±127"
"Natural resources, construction, and maintenance occupations:","1,599,971","±10,939","93.5%","±0.1","6.5%","±0.1","31,029","±190","31,946","±193","15,328","±320"
"    Farming, fishing, and forestry occupations","257,355","±5,389","74.4%","±0.7","25.6%","±0.7","16,339","±187","18,078","±268","12,075","±262"
"    Construction and extraction occupations","848,805","±7,195","97.8%","±0.1","2.2%","±0.1","32,422","±255","32,470","±308","29,555","±2,094"
"    Installation, maintenance, and repair occupations","493,811","±5,961","96.0%","±0.2","4.0%","±0.2","40,348","±372","40,345","±378","40,414","±1,868"
"Production, transportation, and material moving occupations:","1,815,060","±10,956","76.2%","±0.3","23.8%","±0.3","26,930","±133","30,477","±152","20,091","±166"
"    Production occupations","887,534","±7,023","68.5%","±0.4","31.5%","±0.4","27,131","±181","31,913","±222","20,345","±228"
"    Transportation occupations","519,198","±5,653","88.4%","±0.3","11.6%","±0.3","33,511","±385","34,897","±411","26,835","±555"
"    Material moving occupations","408,328","±5,012","77.4%","±0.5","22.6%","±0.5","20,154","±208","21,690","±224","15,995","±265"
"PERCENT IMPUTED","","","","","","","","","","","",""
"    Occupation","6.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
