"Label (Grouping)","Colorado!!Median earnings (dollars)!!Estimate","Colorado!!Median earnings (dollars)!!Margin of Error","Colorado!!Median earnings (dollars) for male!!Estimate","Colorado!!Median earnings (dollars) for male!!Margin of Error","Colorado!!Median earnings (dollars) for female!!Estimate","Colorado!!Median earnings (dollars) for female!!Margin of Error","Colorado!!Women's earnings as a percentage of men's earning!!Estimate","Colorado!!Women's earnings as a percentage of men's earning!!Margin of Error"
"Civilian employed population 16 years and over with earnings","45,786","±274","53,637","±287","39,034","±244","72.8%","±0.5"
"    Management, business, science, and arts occupations:","66,832","±370","81,196","±786","56,237","±340","69.3%","±0.7"
"        Management, business, and financial occupations:","74,968","±702","85,634","±1,214","64,823","±606","75.7%","±1.2"
"            Management occupations","78,604","±859","88,941","±1,656","66,859","±991","75.2%","±1.9"
"            Business and financial operations occupations","69,523","±1,100","79,455","±1,466","62,555","±997","78.7%","±1.8"
"        Computer, engineering, and science occupations:","86,602","±1,105","92,560","±994","72,100","±1,675","77.9%","±1.9"
"            Computer and mathematical occupations","91,332","±1,515","96,134","±1,144","77,248","±2,136","80.4%","±2.3"
"            Architecture and engineering occupations","88,464","±1,434","91,973","±1,665","76,338","±2,050","83.0%","±2.6"
"            Life, physical, and social science occupations","64,470","±1,758","69,444","±3,223","59,819","±2,501","86.1%","±5.0"
"        Education, legal, community service, arts, and media occupations:","45,227","±627","52,749","±958","42,160","±680","79.9%","±1.9"
"            Community and social service occupations","44,756","±920","47,443","±3,838","44,004","±1,071","92.8%","±7.8"
"            Legal occupations","84,206","±2,116","110,586","±7,891","69,698","±2,538","63.0%","±5.2"
"            Educational instruction, and library occupations","42,133","±640","48,079","±1,163","39,497","±779","82.2%","±2.4"
"            Arts, design, entertainment, sports, and media occupations","42,969","±1,362","48,960","±2,838","37,200","±2,523","76.0%","±7.0"
"        Healthcare practitioners and technical occupations:","64,422","±788","82,706","±2,938","60,988","±1,129","73.7%","±2.9"
"            Health diagnosing and treating practitioners and other technical occupations","73,320","±1,033","106,781","±4,235","68,259","±884","63.9%","±2.8"
"            Health technologists and technicians","42,690","±1,050","48,551","±3,487","41,092","±1,359","84.6%","±7.0"
"    Service occupations:","24,460","±397","29,026","±783","21,180","±240","73.0%","±2.2"
"        Healthcare support occupations","27,303","±638","29,759","±1,577","26,898","±630","90.4%","±5.0"
"        Protective service occupations:","54,344","±1,511","59,591","±1,979","44,070","±2,844","74.0%","±5.2"
"            Firefighting and prevention, and other protective service workers including supervisors","39,969","±1,721","45,816","±4,117","26,570","±4,847","58.0%","±12.0"
"            Law enforcement workers including supervisors","69,103","±2,334","72,311","±3,325","59,496","±4,527","82.3%","±7.2"
"        Food preparation and serving related occupations","18,132","±524","21,035","±678","16,218","±420","77.1%","±3.6"
"        Building and grounds cleaning and maintenance occupations","25,114","±696","29,659","±1,138","19,494","±1,180","65.7%","±4.7"
"        Personal care and service occupations","21,630","±601","25,238","±1,868","21,101","±650","83.6%","±6.9"
"    Sales and office occupations:","37,983","±384","45,724","±913","34,074","±348","74.5%","±1.6"
"        Sales and related occupations","40,224","±842","51,782","±1,109","29,639","±1,111","57.2%","±2.4"
"        Office and administrative support occupations","36,805","±384","39,346","±999","35,949","±424","91.4%","±2.6"
"    Natural resources, construction, and maintenance occupations:","44,583","±455","45,372","±692","27,087","±2,153","59.7%","±4.8"
"        Farming, fishing, and forestry occupations","26,966","±1,081","31,149","±1,261","17,246","±2,811","55.4%","±9.2"
"        Construction and extraction occupations","44,028","±588","44,436","±585","28,537","±3,342","64.2%","±7.5"
"        Installation, maintenance, and repair occupations","51,448","±997","51,792","±1,012","40,236","±4,302","77.7%","±8.3"
"    Production, transportation, and material moving occupations:","35,641","±468","39,391","±532","26,871","±645","68.2%","±1.9"
"        Production occupations","39,440","±868","43,830","±827","29,589","±1,110","67.5%","±2.7"
"        Transportation occupations","41,921","±907","43,804","±781","29,427","±2,190","67.2%","±5.2"
"        Material moving occupations","26,081","±550","27,329","±754","22,554","±1,415","82.5%","±5.7"
