"Label (Grouping)","Utah!!Median earnings (dollars)!!Estimate","Utah!!Median earnings (dollars)!!Margin of Error","Utah!!Median earnings (dollars) for male!!Estimate","Utah!!Median earnings (dollars) for male!!Margin of Error","Utah!!Median earnings (dollars) for female!!Estimate","Utah!!Median earnings (dollars) for female!!Margin of Error","Utah!!Women's earnings as a percentage of men's earning!!Estimate","Utah!!Women's earnings as a percentage of men's earning!!Margin of Error"
"Civilian employed population 16 years and over with earnings","36,444","±205","46,880","±441","27,085","±222","57.8%","±0.7"
"    Management, business, science, and arts occupations:","54,475","±503","71,597","±695","40,685","±439","56.8%","±0.9"
"        Management, business, and financial occupations:","63,125","±791","75,157","±1,243","48,074","±1,079","64.0%","±1.7"
"            Management occupations","67,184","±1,000","80,098","±1,366","49,632","±1,691","62.0%","±2.4"
"            Business and financial operations occupations","55,403","±1,243","66,401","±1,186","46,286","±1,463","69.7%","±2.3"
"        Computer, engineering, and science occupations:","72,485","±1,216","77,248","±1,287","53,066","±2,850","68.7%","±3.8"
"            Computer and mathematical occupations","75,395","±1,539","80,108","±1,482","54,732","±4,083","68.3%","±5.3"
"            Architecture and engineering occupations","75,499","±1,459","79,127","±3,109","54,944","±5,661","69.4%","±7.6"
"            Life, physical, and social science occupations","53,716","±2,901","58,905","±5,865","48,338","±3,936","82.1%","±10.4"
"        Education, legal, community service, arts, and media occupations:","35,570","±693","49,765","±1,480","27,725","±1,340","55.7%","±3.1"
"            Community and social service occupations","39,715","±1,164","43,408","±5,089","37,160","±1,229","85.6%","±10.5"
"            Legal occupations","70,636","±5,322","107,454","±9,944","46,986","±6,409","43.7%","±7.1"
"            Educational instruction, and library occupations","31,284","±1,184","47,390","±1,883","24,898","±1,348","52.5%","±3.6"
"            Arts, design, entertainment, sports, and media occupations","30,526","±1,287","43,590","±3,096","21,070","±1,413","48.3%","±5.0"
"        Healthcare practitioners and technical occupations:","52,670","±1,502","87,895","±4,457","44,445","±1,435","50.6%","±2.9"
"            Health diagnosing and treating practitioners and other technical occupations","65,325","±1,916","111,793","±8,128","52,826","±1,710","47.3%","±3.5"
"            Health technologists and technicians","32,476","±1,254","36,151","±2,761","31,720","±1,042","87.7%","±7.2"
"    Service occupations:","16,985","±375","22,205","±549","14,604","±441","65.8%","±2.5"
"        Healthcare support occupations","21,279","±604","22,363","±2,103","20,977","±691","93.8%","±8.9"
"        Protective service occupations:","43,199","±1,977","50,534","±1,544","19,534","±5,198","38.7%","±10.2"
"            Firefighting and prevention, and other protective service workers including supervisors","29,978","±4,656","39,686","±3,290","10,858","±2,675","27.4%","±6.7"
"            Law enforcement workers including supervisors","55,692","±2,454","57,222","±2,362","39,318","±7,228","68.7%","±12.1"
"        Food preparation and serving related occupations","12,353","±514","13,548","±1,094","11,799","±559","87.1%","±7.7"
"        Building and grounds cleaning and maintenance occupations","18,749","±995","23,470","±1,174","13,599","±1,163","57.9%","±6.1"
"        Personal care and service occupations","13,731","±851","16,927","±2,574","13,273","±842","78.4%","±12.9"
"    Sales and office occupations:","30,706","±273","39,934","±1,030","26,554","±363","66.5%","±1.9"
"        Sales and related occupations","32,432","±872","47,846","±2,070","20,908","±583","43.7%","±2.1"
"        Office and administrative support occupations","29,870","±488","32,009","±742","28,768","±581","89.9%","±2.6"
"    Natural resources, construction, and maintenance occupations:","42,123","±679","42,493","±838","31,074","±3,220","73.1%","±7.8"
"        Farming, fishing, and forestry occupations","25,595","±1,872","26,300","±2,180","22,165","±5,311","84.3%","±22.0"
"        Construction and extraction occupations","40,643","±775","40,725","±796","31,620","±9,100","77.6%","±22.6"
"        Installation, maintenance, and repair occupations","48,749","±1,520","49,314","±1,520","36,376","±1,511","73.8%","±4.1"
"    Production, transportation, and material moving occupations:","31,831","±395","36,165","±599","24,074","±723","66.6%","±2.3"
"        Production occupations","34,270","±637","40,125","±543","25,714","±614","64.1%","±1.8"
"        Transportation occupations","40,775","±1,418","43,818","±1,802","26,823","±3,104","61.2%","±7.1"
"        Material moving occupations","23,872","±896","25,550","±602","19,631","±1,253","76.8%","±5.0"
